"","k_1","k_2","k_3","f_1","f_2","f_3","s_1_NR_A_FPKM","s_2_NR_B_FPKM","s_3_CR_A_FPKM","s_4_CR_B_FPKM"
"AIM11",108.759076321206,116.012723301353,47.2475818012807,88.4605782271107,87.112629895801,87.2245468564428,111.134,118.182,123.006,113.615
"AIM14",28.2327628677734,29.0707852155992,55.3106577611686,29.5095441014057,29.5175868677693,26.9693948191989,18.1715,19.2105,45.8781,34.605
"AIM17",303.505602366259,322.985833542651,270.655325826608,142.337269221986,136.295336509822,117.13125844918,341.266,313.74,1407.31,1747.2
"AIM18",187.404983048482,182.898474137829,296.658550883427,167.92320524364,190.81829608205,187.076655224349,32.9394,30.573,76.0514,87.8071
"AIM19",353.339164847329,325.948292321997,27.0232070775995,502.701941307679,448.756107941913,530.175680568918,123.285,128.283,231.935,198.942
"AIM2",233.287097271192,227.124823737549,575.546434992299,687.833580695444,683.945329477819,678.574126111636,61.1274,65.2701,102.684,101.134
"AIM21",33.2918501773873,34.7800032417931,2.87327544765635,22.7627105191378,20.8691020722808,16.8097685389789,75.4089,62.981,116.761,89.1828
"AIM22",28.4101043430735,27.3311660736821,24.9523331683865,38.5884204750057,40.5469319863054,36.5984237219343,24.0392,24.7574,41.6501,42.1862
"AIM23",105.430956639698,103.807635037311,108.680289333824,89.2320832055848,97.2938323928785,103.247671967785,87.5889,91.5294,101.295,160.532
"AIM24",120.44524889166,127.704258785653,194.589863324231,192.47517248164,190.38834693345,198.3499978631,55.9022,68.2162,140.26,113.315
"AIM25",177.241582626456,178.877602007106,149.978799280677,125.48145429033,120.238935638275,111.659416230005,87.3626,74.7728,98.8712,97.4057
"AIM27",23.7686525766882,22.4478923030218,45.9942961791247,21.5435817892626,22.7773512580635,17.0333602427068,278.543,297.982,228.652,201.782
"AIM29",393.694889391181,342.994797665683,570.521391340398,285.766696017308,298.353794599232,278.252349098525,557.016,558.278,473.184,473.473
"AIM3",24.3793722601449,23.6584886536066,2.85295682829387,63.7975442024565,59.9711041337991,58.1914530839195,23.9056,20.5319,14.2128,16.8364
"AIM32",14.8016426685414,17.6601019116015,28.7941454055005,23.1176207557045,25.6340153454522,21.2045735326347,7.11488,6.00417,16.6205,11.5934
"AIM34",498.341093410232,436.981674121873,440.855343370606,432.881584182007,465.83474354755,513.141897729456,15.5579,16.0519,27.6673,19.8289
"AIM36",367.213704006551,343.59568958299,308.845506577244,259.557491944766,280.558730031114,258.15242490469,62.491,55.119,86.7201,59.1146
"AIM37",187.777160169104,191.141206895285,252.543643736612,189.413779247547,208.751925585014,199.570866612224,58.1419,72.0576,366.85,324.261
"AIM39",124.441331717186,135.906914354522,227.676293818322,212.633094300977,218.042570735417,244.318452874117,20.4209,25.8687,81.4046,88.2681
"AIM4",0,0,0,23.5494883961957,23.0538270436422,10.9905729185084,105.728,114.459,106.724,109.386
"AIM41",187.989436817155,182.17605004848,302.16858823134,171.678289070127,184.533351763771,169.364532763824,196.532,221.755,601.31,674.064
"AIM43",85.5816449875265,78.4856745501339,105.067223836986,63.2922599687119,62.8676449134906,56.0878828591776,75.9499,80.0914,164.339,160.824
"AIM44",29.9108360249804,33.7854688581648,99.6257058941138,27.0650163273054,30.6366531573347,25.3686927327051,91.542,76.842,45.795,60.143
"AIM45",258.1088281829,257.651038997752,233.339518504838,119.772470451762,113.977229934606,96.9294199035218,95.3049,100.945,137.533,72.7506
"AIM5",166.766472455274,188.302606335937,110.0840119898,220.518235639815,197.615787605677,186.396260356528,67.9298,90.0235,356.164,201.018
"AIM6",22.0857517837264,25.9481310863916,84.6374774239731,57.2999165499936,56.3240505461112,56.744319020987,115.094,124.277,115.284,174.267
"AIM7",17.855314894754,20.5926523945957,16.4330313309727,27.5672220583844,30.4398786133677,27.6373303232313,227.331,240.825,375.014,400.833
"AIM9",84.4467768313841,88.6166428972138,84.7782636166425,59.9762251288878,56.9006442762555,53.0387760505548,121.528,101.649,143.963,141.682
"AIP1",30.2018054786959,32.2330228474046,47.6918397782033,32.7223228276726,30.3067164506308,25.0889670180932,103.306,95.8588,177.416,123.875
"AIR1",21.9671399352466,25.6404372828066,11.6056371178238,52.5313657590184,56.1588221628761,53.7248676184072,31.4227,21.6881,4.9151,4.19226
"AKL1",45.8199007147414,51.5788962028823,77.200174817729,45.6574045011612,45.7923077918679,41.6763207449222,41.3425,34.1692,102.32,110.764
"AKR1",15.2558287118613,17.6529477911287,14.6345759073835,19.7106921383495,17.7578847274332,16.1643266594021,129.116,126.968,130.134,100.696
"ALA1",73.2680023200194,74.6819920009259,77.4693506973817,70.8822375394374,73.9151786613468,67.488089608793,261.47,201.67,214.312,117.758
"ALB1",53.1717034009732,47.2928606011444,3.00257856417772,49.1825735023428,48.8945107515108,48.1233316267201,74.5459,39.2705,26.3551,11.4392
"ALD2",116.164883871287,129.197710288415,95.5232688430286,149.576780381016,141.526158350089,126.537545706519,29.7762,24.8569,32.5236,23.793
"ALD4",4.77036338110654,17.1925086928363,9.70661173764351,10.1844770219179,10.5111318704729,10.4150767631332,261.419,372.094,2706.3,2745.86
"ALD5",717.756322402019,843.217236836191,5052.05415346567,576.108892017352,626.366512147399,543.766597987564,35.0625,21.0132,39.5033,23.3536
"ALD6",3553.52670208717,3743.836622644,1696.19830054746,3229.32403705968,3476.74856408267,3859.92670962267,584.141,550.277,802.775,871.183
"ALE1",164.423968004768,157.165286577476,151.645956814094,115.082298267323,111.27189907758,109.548240119724,193.164,161.603,170.373,153.041
"ALF1",19.8922873034491,15.3098326827654,41.2615303286455,22.1656041179332,23.3064088140407,21.7111251212235,105.886,111.644,79.9258,68.4666
"ALG1",42.2426570916172,47.6958708179382,31.0479400466037,95.2304263191097,91.4312402335295,85.8129194346469,46.3873,41.907,62.6617,54.4712
"ALG11",3.20399830793645,4.30375501753136,12.8135434610509,12.1493639055096,10.8338183129784,10.1276236730097,41.0558,30.9279,44.0012,45.2577
"ALG12",72.0799721379275,74.8926409600193,213.164973454886,135.84282808628,121.157342125462,126.225064730749,25.7583,21.6732,17.187,14.7206
"ALG13",38.1797182389709,37.5670530013467,46.6986091379652,27.3327824942099,30.154168104764,25.5124811218297,81.9559,98.1183,76.4365,84.4094
"ALG14",44.024697402291,43.4190360473919,99.1340477031504,56.0836185609399,64.433776019803,64.055926075046,38.9997,41.0233,46.0026,43.5668
"ALG2",74.8334291071687,77.8993722732058,97.3630255001748,53.3865362759507,55.7699198335169,53.4766797985857,44.2908,31.1509,29.8618,35.0386
"ALG3",22.6252556045678,20.2480272304779,19.1462296954056,14.4971318637573,12.5038398805854,10.9944702847916,27.7328,14.0246,24.7262,14.1985
"ALG5",23.7208814601071,20.6235614640828,22.127388706737,23.9096862672345,25.5343021052999,22.9260104919309,36.7054,30.9025,35.8956,22.6954
"ALG6",19.200733772944,17.5352150406114,49.3467259677904,20.0443688914286,18.757128264204,17.3714765578628,53.1179,49.4849,75.5003,68.924
"ALG7",5.64340159555604,6.21137069510903,19.4983296603439,10.3029011733356,7.98478905417817,6.43978881943854,41.9228,32.5567,46.5982,32.9639
"ALG8",10.5571443356985,13.7610697250426,33.7910298465891,25.3233822433587,24.5510951701421,24.6636018014097,31.188,21.0971,34.0824,22.4663
"ALG9",27.3232682381854,28.4213849107997,74.7429538770629,34.9538232184307,35.9754064483213,34.5109308732717,35.6008,24.4979,37.1622,37.3162
"ALK2",13.8674923399649,14.3809735968004,7.17406136750539,10.3537454590721,10.7331130617047,10.7686905581079,13.1696,9.74165,13.4693,8.81428
"ALO1",107.255033964755,113.422607607635,80.3773758902035,106.248261056334,101.485688024661,96.4959789258797,58.7881,58.5144,114.418,99.6706
"ALR1",36.2901231522034,42.4502928446135,3.82885490709061,76.1082489697788,78.012331186095,69.7153910630577,32.1059,28.3291,66.6584,53.0565
"ALT1",134.043230775807,135.592915456466,158.444080171837,215.469144980477,216.976987585244,164.966542928453,150.76,240.043,541.233,373.837
"ALY2",92.6439261009606,93.9375552681695,66.7438005426379,115.326864816838,116.856536808893,128.668860729277,25.2756,20.5584,23.615,32.0627
"AMA1",1.86428298284482,1.61490182323432,5.32386552479882,3.06100687033884,3.55691594785664,2.97329508906509,9.81901,10.1928,9.01395,8.78691
"AMD1",43.473550862523,42.729970836464,53.8117212897608,62.4650666671215,60.0991723612898,63.4912397899856,46.1937,40.5171,53.9869,34.831
"AME1",15.2722523875325,17.376885010834,21.1148229517481,35.0849085252264,31.9567277312276,40.4327987449193,87.467,109.464,178.989,161.341
"AMN1",26.4140476783843,31.4604393656713,7.91842812041288,22.3309392873227,23.4559286781244,22.2750797639072,45.084,37.0551,62.3702,33.2396
"ANP1",18.3106056293209,22.0359049050431,34.0186825239626,55.4970759432889,57.7282823531854,53.1373486669793,61.076,41.3102,73.0595,29.6246
"ANT1",323.088680068082,327.291134108344,124.137857512723,235.898277976151,203.327283377271,178.515398274514,41.6687,36.2273,34.9766,23.1315
"AOS1",23.1542067069431,22.3105931081987,89.0446653333623,15.8912597979259,19.4161423030281,16.729733037197,126.405,114.052,96.8648,100.499
"APA2",71.4641810090514,72.9021187275176,252.910030263601,154.543517600034,156.005763035419,153.672558434246,186.368,197.943,255.093,392.585
"APC1",6.64215570589662,8.81418560423489,5.62037290059318,17.4147477215564,18.0975771119909,16.4858593777627,12.4648,11.9242,16.318,15.9527
"APC11",23.735807824164,25.5352593845745,33.3744698188916,22.5388816087342,24.3997840117591,24.7233047488204,209.543,226.372,85.0185,59.3084
"APC2",5.55946442410602,5.63427843062279,12.5617203631883,14.3875999168532,13.4094773514251,12.9327138526973,19.0828,16.2855,31.9302,31.7984
"APC5",5.53961028996462,5.90146759645498,13.5457237497563,7.72428505475665,7.26738908067678,6.17371688632265,40.2928,35.3302,44.1857,43.2248
"APD1",42.2391465242532,46.3078341000179,41.1270399922882,63.6460604950212,64.3586004968346,62.6545918271031,100.937,101.141,322.245,254.718
"APE2",123.974179030311,143.928124995759,268.636950913776,183.878166774114,179.758925510144,155.826988717278,192.873,208.832,189.727,185.433
"APE3",93.8082789472819,99.7321141066696,153.733768171111,88.839227946824,81.2096375122617,69.1561211322555,1816.34,1894.18,1401.08,1293.86
"APE4",260.260035933247,249.398533109708,196.940248829775,175.344987356022,168.457499772731,172.55991206368,221.268,258.693,319.809,309.919
"APJ1",330.745936556375,308.745781356735,666.759712259774,252.724525246976,313.163793660925,286.649831652477,65.3364,93.2208,169.312,151.191
"APL1",14.9799480344984,17.3445933450296,35.8599506527601,22.7313292362992,21.0390943077365,20.0234172321441,60.6794,60.2953,120.237,161.216
"APL2",32.3719730170317,32.4977723750269,66.7564818908497,43.6951665581012,40.3631917695596,37.851243361059,81.8913,71.835,74.8553,83.6477
"APL3",21.1878062584243,22.0472289117304,44.9471936470386,28.5905507560063,28.6471817820954,25.3241117663965,26.6131,20.1083,27.0358,24.7684
"APL4",11.7455980668342,14.6255137159363,17.1319775068074,30.5516722912278,29.7588386219293,25.8351008620714,98.9116,99.4786,168.913,175.327
"APL5",27.0134076608596,28.8417376536409,52.7670762786017,34.6852929866448,33.2255091307273,31.466549854541,267.586,296.744,127.081,166.653
"APL6",7.200883381257,10.1038115438655,11.9019179186539,21.4902070201946,21.7661233068483,17.7445070184503,80.495,76.7337,57.9306,70.7292
"APM1",21.2026179417583,22.2843155475341,69.973999783718,24.2599586127107,23.7493435328176,21.823444459599,45.1612,54.2617,84.0679,129.444
"APM2",6.15150613867987,7.57059626223853,14.7399311332361,12.9770402130551,13.6872606212665,10.7950884199579,27.5623,32.3038,38.1474,50.8822
"APM3",39.8632576285033,39.1331829134582,97.7330711037849,46.3860381698169,50.912371387011,47.24405293109,57.5133,58.4473,47.712,44.9194
"APM4",28.6252099864748,30.9154907073049,51.6356301213053,54.3787978941198,55.5499978401179,58.1793502107351,58.0926,61.1181,131.358,102.384
"APN1",22.8898307887464,21.9727106898592,22.1356298198493,38.7941641945709,38.2030248425719,36.8552591862273,127.65,137.04,88.8908,87.5222
"APN2",13.7272578410411,13.7914319390946,20.4305232583662,11.2219393061684,11.9869077233961,10.2681878440525,28.2379,30.5177,32.3774,27.4622
"APP1",25.8128117648214,28.2354949411145,5.21876750440414,145.367212322195,147.074878083977,162.41624424018,42.5652,39.758,55.1705,57.7701
"APS1",41.5938729383184,37.9803558427049,98.1097327021129,45.1490191544897,43.7704561226689,40.998803859489,179.777,207.913,118.067,101.593
"APS2",103.002214059877,100.978671524148,69.7797243161504,97.2667627549803,104.24507362855,102.836848392979,161.358,154.529,217.166,282.394
"APT1",29.1262997776843,33.3836145160728,57.6758608504618,30.1780013091319,29.5428253471497,22.9165137449751,270.43,271.378,122.671,78.2723
"AQR1",35.776927371785,34.3176773802304,63.3494854442087,41.0864935679831,47.3499292239713,42.7644727068982,60.4959,41.3241,4.44957,3.05545
"AQY1",288.889469208776,325.949418670261,1186.62389143169,390.225151537175,484.650938204569,346.906207243394,10.8237,9.96965,14.0488,10.0402
"ARA1",1317.65802168324,1169.16574515693,238.186851763621,2117.51465413039,2168.94689166125,3241.32744531026,321.74,463.549,822.601,1020.28
"ARA2",10.706667936206,12.5467342230851,17.9820599025273,15.0823874743192,15.7625696774656,15.7901158893507,63.0649,69.8582,103.394,85.5542
"ARB1",121.154772365637,123.751902270019,72.4359732478912,126.910955900496,115.502959670134,126.852541867817,280.654,297.872,376.696,142.086
"ARC1",182.168541361109,185.219747852999,217.150771159282,157.250981929535,153.016219312817,130.937072424206,808.368,719.231,388.36,263.521
"ARC15",108.320311301454,104.974853652405,436.802066350095,85.9021110815773,76.7587650430361,69.6902237332695,162.41,188.575,316.861,373.533
"ARC18",86.2774092382973,94.2605544280884,217.90323334183,93.7544603946471,103.937593112014,89.4665752170485,67.0845,83.462,168.171,180.496
"ARC19",134.877100281682,144.065279998188,415.835310073468,148.713193680239,151.759858547465,133.51629135595,181.094,246.323,439.006,338.765
"ARC35",206.384086725154,214.401942036346,575.296807555685,209.334787142635,207.807572976725,200.334280980947,231.096,260.228,270.716,237.516
"ARC40",116.652642940027,120.785040254915,135.043780823619,91.1650649276968,82.9537105454052,74.5341081434321,134.938,154.615,165.795,149.055
"ARD1",26.1828187812872,28.2826049042119,46.4387939018314,30.5802052217265,25.7267345269631,26.1464136894661,193.531,157.195,125.683,76.5252
"ARE2",67.7023529500293,71.6374334875355,111.336062050193,109.030480190914,113.392660923961,114.336037648359,232.464,225.55,158.275,176.389
"ARF1",605.220463344054,594.305933761001,962.144955290357,562.319514588646,539.252659501606,550.374074611461,947.089,1129.06,1273.76,615.772
"ARF3",133.781641097211,146.596165330767,100.451019751569,288.556299528612,327.089293806357,305.213615146776,77.1295,66.7745,76.7533,71.2179
"ARG1",679.749032347905,786.843366851465,357.158859813618,222.536139357557,206.895776787746,152.527919331446,148.753,142.515,60.0244,32.9842
"ARG2",56.6532435737633,51.1113176819975,39.2770815635855,23.9913892570581,25.1555131083478,16.3462037526161,19.3096,12.6942,16.7665,16.652
"ARG3",79.3208166142824,74.0794133341502,77.0874624185775,37.988800807255,40.423071612447,32.826681869504,8.5553,3.97993,24.8599,17.5258
"ARG4",144.224904394941,144.477482431847,85.7972233349272,52.2785078975301,49.5225748318701,35.5037441939146,231.771,268.021,119.221,78.7904
"ARG7",134.670278879279,152.081086562332,61.1210290418066,24.2947811937532,22.9674831221305,17.9800833363464,176.759,159.341,72.3452,66.7834
"ARG8",36.6160290117655,38.6106473397515,33.2213365311291,53.426050423995,57.7251879984281,55.0392684676877,46.534,29.591,39.2916,42.8068
"ARG81",8.44241841094582,8.58964485913806,2.25193392313329,8.95066854900353,9.77777382163826,8.20242146435249,31.4184,26.645,32.5026,32.1286
"ARG82",10.1853890969148,11.4661615097969,18.2578892011544,23.6995913675595,22.9340951751436,24.7365727585126,75.1369,99.9302,128.344,106.29
"ARH1",55.9910502844286,55.40289599828,50.266550117205,79.2111706075238,86.2473028438557,85.9283832563969,54.4543,50.1124,69.6356,64.0674
"ARI1",5.0893269906381,4.5437778184317,11.6744995488752,10.644322849645,13.6839967539748,13.8721168903201,210.289,286.141,27.6377,15.1546
"ARL1",169.787846474645,161.11919136404,335.403528062326,147.077647184573,148.951945925996,163.136339144563,382.076,441.238,284.33,419.031
"ARL3",8.89332030334861,8.67333217062497,21.4834496266916,16.484641877337,17.7514468236045,14.1045685787525,60.4366,62.8356,39.5427,26.7605
"ARN1",47.1710765736313,45.1636658683075,54.0464141551991,124.314873563416,134.325317060804,151.096195950903,23.243,22.2473,24.3291,16.8045
"ARN2",8.1146424887697,10.0644849112539,51.6165048091084,39.0623973518079,59.149798983345,58.3209433901497,32.3879,37.3114,48.5891,36.6442
"ARO1",63.5719317970461,64.0488001847227,57.8922216140605,29.3859681789762,25.8668994453938,24.6389968042379,156.747,139.757,87.5006,67.0675
"ARO10",268.833173398938,368.967887968104,591.866050101735,307.138573171513,245.539090014344,164.475404230547,18.2418,19.3387,145.493,93.9673
"ARO2",96.987403687144,100.300580915089,50.8029125099434,38.041481255393,35.2432068598209,28.9437855329597,170.765,132.845,144.399,92.2492
"ARO3",63.1149847648601,62.6859463180782,52.8147934572924,34.0299577628672,33.9626754972692,31.7636396947778,500.96,590.758,424.32,308.639
"ARO4",463.392458702466,453.765768698336,302.900536866381,267.593159241703,295.710070996783,222.862722449828,669.45,775.386,193.23,111.028
"ARO7",160.7150026248,143.258242903699,86.6821334719923,44.8044112563517,37.7063075011879,31.3160875786987,70.6342,54.7323,29.3376,26.5849
"ARO8",1278.55433315087,1125.06848004768,2201.30309913347,764.598844397751,904.087016096949,769.286454358053,213.236,187.038,169.306,148.484
"ARO80",23.4866065154072,24.5874641713813,27.9142425542123,44.5827882124014,48.7910364783102,48.4199096271081,28.3279,29.828,30.0164,31.6782
"ARO9",27.2039418480155,30.3539402707057,67.5961860655773,55.9060123931657,49.6641374494785,44.5763287046347,5.94191,6.43722,371.706,483.205
"ARP2",123.093405656407,133.400421459336,436.938373111212,106.14791719059,99.1794850940025,94.0413605378327,368.898,435.737,372.707,318.531
"ARP3",148.277727614102,161.436199118815,159.38358648071,112.639027740064,105.549621513956,102.831752975474,105.794,113.509,236.888,197.5
"ARP4",16.5766650552212,15.9699449490872,57.829663146063,25.7736067447252,26.5119011001886,22.8359681751231,93.378,90.2905,126.685,118.041
"ARP5",16.9565973783847,20.173528159824,57.289199004511,22.0894201156315,23.148603888155,19.7976853505399,211.772,212.626,111.407,94.3412
