"","GSM3714420_Galaxy259","GSM3714420_Galaxy264","GSM3714420_Galaxy269","GSM3714420_Galaxy274","GSM3714420_Galaxy279","GSM3714420_Galaxy284","GSM3714420_Galaxy294","GSM3714420_Galaxy374","GSM3714420_Galaxy379","GSM3714420_Galaxy384","GSM3714420_Galaxy389","GSM3714420_Galaxy394","GSM3714420_Galaxy400","GSM3714421_Galaxy415","GSM3714421_Galaxy420","GSM3714421_Galaxy430","GSM3714421_Galaxy531","GSM3714421_Galaxy536","GSM3714421_Galaxy541","GSM3714422_Galaxy451","GSM3714422_Galaxy456","GSM3714422_Galaxy461","GSM3714423_Galaxy466","GSM3714423_Galaxy471","GSM3714423_Galaxy476","GSM3714423_Galaxy481","GSM3714424_Galaxy486","GSM3714424_Galaxy491","GSM3714424_Galaxy496","GSM3714424_Galaxy501","GSM3714424_Galaxy506","GSM3714424_Galaxy511","GSM3714425_Galaxy516","GSM3714425_Galaxy521","GSM3714425_Galaxy526"
"YOR1",36.0822,39.1271,38.1519,34.5969,37.5992,33.0774,35.1486,31.9742,35.1147,33.9173,34.896,32.0347,33.4659,45.3343,43.3965,43.8818,44.5496,44.4489,42.6458,46.0304,45.1028,44.0826,52.4888,53.861,51.3079,48.9334,45.7383,48.0877,46.8754,42.6985,41.2197,44.0269,55.9967,56.6986,57.0307
"BGL2",1033.08,1030.11,1023.12,1020.99,977.438,1055.83,1006.26,842.248,870.381,841.307,820.213,768.037,1008.19,1308.41,1248.22,1435.06,1302.33,1285.74,1342.68,1417.84,1341.52,1399.76,1362.75,1285.59,1273.63,1306.56,1414.24,1410.53,1397.35,1330.95,1304.79,1296.43,865.698,901.079,903.501
"ERV29",225.714,237.218,221.719,242.173,229.596,220.981,209.776,160.382,162.802,179.036,155.257,147.547,214.604,246.325,235.144,291.381,274.58,242.388,241.637,230.058,215.4,226.895,163.389,149.778,159.983,141.252,194.287,186.273,176.626,168.016,187.882,177.165,83.8202,93.0131,70.1258
"ZUO1",192.346,193.444,216.492,195.864,208.127,203.371,208.28,225.426,224.811,222.922,239.638,248.039,220.158,213.306,194.085,188.841,213.361,206.646,197.07,257.125,248.751,251.68,149.706,134.851,142.876,155.811,163.289,165.013,166.706,150.642,146.156,144.874,218.633,211.558,214.007
"BIO2",88.6735,92.0028,87.4115,89.8005,96.5805,91.5548,82.5626,98.3706,82.9102,102.658,91.3574,84.7675,88.9079,104.705,97.4978,85.6155,110.023,101.446,96.1996,71.5906,60.2053,67.1803,16.21,18.2488,20.2835,14.3771,29.8093,20.9437,14.5016,25.7791,20.9663,24.4371,17.3438,15.2404,15.9672
"MAL32",2.58533,2.19917,3.00149,2.98724,2.40545,2.12144,3.33422,2.21367,2.59884,3.23718,2.20799,0,2.94685,2.66756,2.67317,9.81441,2.67632,2.46969,2.66798,3.65798,4.78635,2.65915,3.94094,4.68952,3.75855,4.2912,5.48275,4.70777,3.40221,2.18149,5.9332,5.91568,3.30257,5.6393,3.98748
"MAL12",2.58533,2.19917,3.00149,2.98724,2.40545,2.12144,3.33422,2.21367,2.59884,3.23718,2.20799,0,2.94685,2.66756,2.67317,9.81441,2.67632,2.46969,2.66798,3.65798,4.78635,2.65915,3.94094,4.68952,3.75855,4.2912,5.48275,4.70777,3.40221,2.18149,5.9332,5.91568,3.30257,5.6393,3.98748
"PAU24",0,2.24319,0,2.23913,0,4.33985,0,10.4098,12.8715,6.42207,20.4452,9.24174,0,0,3.73681,0,0,0,1.85634,0,1.78236,0,3.76806,1.83998,1.84285,0,0,4.14599,4.48546,3.23927,6.46649,9.39685,0,0,0
"PAU12",0,2.24319,0,2.23913,0,4.33985,0,10.4098,12.8715,6.42207,20.4452,9.24174,0,0,3.73681,0,0,0,1.85634,0,1.78236,0,3.76806,1.83998,1.84285,0,0,4.14599,4.48546,3.23927,6.46649,9.39685,0,0,0
"COS2",566.405,538.32,551.471,525.943,538.535,528.112,557.111,687.377,728.539,735.218,711.206,720.511,523.724,632.25,618.751,567.966,639.157,645.964,629.517,627.287,606.53,621.873,747.153,729.894,710.246,719.472,832.411,810.016,811.612,783.448,803.793,790.587,749.226,790.977,776.005
