"","k_1","k_2","k_3","f_1","f_2","f_3"
"id3060",9.78411264900422,6.36930523385614,11.6479340851722,18.9478642268241,17.0033015551767,22.25485742311
"id3061",19.6750153267125,21.285440217351,11.8001967924577,21.4565667542664,21.3908002152666,21.3376576628752
"id3062",187.404983048482,182.898474137829,296.658550883427,167.92320524364,190.81829608205,187.076655224349
"id3063",24.9287665645988,27.1529993629926,34.0437632406651,26.694724121183,23.7158457256387,21.4167650655259
"id3064",15.5745205984693,16.8931567767728,28.2313033940099,13.1230678474486,15.1567611916338,14.8739086830481
"id3065",952.422630538812,869.797231883697,481.120564645785,275.212344978646,250.623043997171,223.370905281277
"id3066",16.7702611434574,16.971890728939,14.7726865357544,13.2487677310449,11.834297882403,14.6459560595531
"id3067",20.9283561955878,20.7152690193473,5.60364952965727,5.73270814640379,5.19505383315495,3.84338725660158
"id3068",0,0,0,0,0,0
"id3069",23.9653222131053,23.0748532530495,69.3014504086826,14.7289810936779,16.0302596647548,15.4025591797018
"id3070",129.88384070937,113.347228560558,27.8087654228786,74.4364642910758,66.9901323047232,70.9104948842991
"id3071",21.2211096720407,19.6579643977077,3.78621857405927,8.22722511277348,7.83238995713486,5.21347689724119
"id3072",16.2760671404386,16.9082844626249,12.9726791811268,20.9776069474183,21.5450018643852,19.3613606494142
"id3073",18.0199930344819,19.1347605994041,20.6810258246935,15.2324071769043,16.6957279185107,16.0933389163874
"id3074",42.3491443016601,45.7955072604363,46.7303751658977,53.0054948169656,56.7880110875843,60.4838927523445
"id3075",9.92014202134777,4.4554788547731,9.16197774206285,5.64542530045786,7.73724332286623,11.0658508152106
"id3076",173.047365508508,180.763651799982,351.767609372201,84.475894677924,75.0463900458028,64.4801332623221
"id3077",50.5407671045359,48.0972495674357,37.2062221533738,23.1627267254552,20.859226111568,20.8713921238342
"id3078",7.86935591874131,8.00089721378133,16.032425094546,13.8397179940329,16.5591854697803,13.205091342387
"id3079",76.1590349162641,74.3403394911895,38.5043783906234,30.6272034879484,28.0719187225407,21.9077418891701
"id3080",50.6723094587829,50.5318595077898,35.0073364414357,47.079153990711,45.7777592558519,44.4063552262968
"id3081",3434.80271570736,3270.05856979118,3630.9571882656,3038.48271891592,3164.39825696073,3017.59529608596
"id3082",66.3713313279466,68.6777259998401,143.910225622303,137.490439795892,138.57690767469,141.524681063188
"id3083",12.3810555633516,10.396642861993,6.71277118488141,32.4180457301133,31.9926915104048,29.6873808823193
"id3084",43.516911403666,47.1446349990597,55.0788622661372,32.6315585334882,30.3363344237075,30.0323794866219
"id3085",1729.61784238547,1218.63678753936,1815.11111260179,803.945761324001,818.455538008686,659.604771589864
"id3086",8.50117537720963,11.0387215511491,8.47600592089771,23.6613382979047,24.2483258541936,22.1140197755826
"id3087",19.5598206055149,19.4416218719378,7.8250653588013,18.6456980467081,18.1242517165645,15.2515064640533
"id3088",27.6164138192516,24.658143103759,38.7269200020528,18.1227870404213,20.8981679421436,18.3606206424222
"id3089",20.0489045732633,23.6573683937118,36.2982691197176,40.9988996368606,42.2529550493421,40.7336631564676
"id3090",851.151972777924,891.862718667676,696.022603019416,595.824426404092,565.515553542056,568.036087368507
