"","k_1","k_2","k_3","aa.1","aa.2","aa.3","bb_2","bb_3","bb_1","ab_1","ab_2","ab_3","bba_1","bba_2","bba_3","aab_1","aab_2","aab_3","f_1","f_2","f_3","s_1_NR_A_FPKM","s_2_NR_B_FPKM","s_3_CR_A_FPKM","s_4_CR_B_FPKM"
"COX4",3080.9755923635,3220.43950999402,6304.42107410578,6913.18475144276,4305.40788986333,3194.64736259181,2658.9832226675,2969.86715508644,3304.91883457545,2566.61396968898,2929.76871439566,2672.57798703734,2962.92835453868,3174.02197424282,3244.19557682356,3385.83423489837,4257.37886096205,4597.0429578497,3713.29530319042,4062.70135439767,4031.29846466355,6329.2301671681,6157.35093732419,10985.8267294132,7970.41337924426
"COX5A",2520.94803970988,2582.36472750258,4922.50528295964,5253.15111139706,3758.91425628428,2705.18956055362,2220.21512763787,2709.24944295836,3017.41564077802,2136.70254852412,2762.21074765463,2519.91768688409,2711.74081064114,2913.77744515376,2969.88407916128,2757.60942859278,3582.31935218669,3930.3754927719,3653.03434264044,3811.37390205394,3823.47055751604,5442.85190836519,5361.82771436075,9743.87299353681,6991.07861504174
"COX5B",204.219247903051,204.844556194267,397.774561557223,550.063561363681,391.000177879719,242.267560241112,105.099035806348,110.186518118299,339.121961377712,125.786709708719,151.985404114266,120.801065471908,123.835012819887,146.051764236089,134.949592121481,266.449116966875,389.350278103742,466.937723522087,195.33073523501,198.972109790042,236.613398088362,1840.58963804925,2155.15320536047,2407.37579376363,2206.97299640807
"COX6",2167.42855726777,2128.64746229147,4438.61269268656,4204.2490421168,2799.78121936328,1997.29231994716,1889.51655539648,2052.9602646043,2133.67543799376,1759.87371860145,2067.20908500266,1867.36223581649,1960.23310496613,2155.34360163715,2013.98299667996,2477.87364384432,2776.80430710097,3004.00874701204,1759.69425367114,1817.12559229901,1795.45585411116,4247.12710112521,3995.07386039674,7296.5723542474,5364.28378567314
"COX7",5257.08481281353,5112.45374801531,8520.53629039552,8065.35370847879,5395.47335162481,4050.23079211679,3565.51794602986,4388.80311621669,4038.16197789,3281.67838959525,3882.49659421635,3630.38552731877,4080.42210028239,4295.88936093856,4208.67614446912,4178.54425133255,5050.99661894073,5653.57762223606,5143.04283935215,5433.26067758225,5291.59025284139,8348.77953815803,8073.28247184444,14766.5942811855,10903.8226439073
"COX8",5777.39608483583,5540.52692746972,9807.56423886779,9051.29086238535,6095.63904215049,4371.50902722885,4412.99158181385,4816.69966233495,4550.55869505521,4403.4577597269,5102.21296119144,4559.33356032804,4711.27280455591,4976.21744397298,4957.53639843031,4892.24263038114,5843.90285293344,6601.76358328875,4556.3474738244,4797.41260557087,4893.70689213953,9899.14147067932,9503.61619474162,17396.8455800858,12791.8644052776
"COX9",5405.09929412273,5002.40795458924,8466.04508419648,8631.02035524262,6127.01901269045,4021.11677833274,4479.76379781401,4849.25245259209,4691.51266667227,4572.86383083473,5583.12652763103,4881.12622959848,5178.44872284153,5449.51914499032,5456.15807192712,5216.44020412418,6315.50937825496,7000.77486887605,4265.52619594629,4678.45104751228,4553.19085228369,10594.1211561834,10124.9984753105,18736.6693790095,13820.0952045455
"COY1",85.6613729551191,81.1113704423125,213.947806780758,210.300416037759,188.167672653665,94.9755794482105,66.7894265404955,83.6442595717965,151.456967293207,76.1500757348783,90.3779757961452,81.5726585257531,84.9235981025313,89.6837775429749,92.7930357835383,174.999460443525,186.206162603078,197.143216578747,92.5957968763429,92.0101843735297,97.4578485207991,304.87205310178,306.075039444366,495.821136435571,395.61009642096
"CPA1",592.3796022666,560.995184854861,639.537152745257,713.024440492368,714.259572710824,445.314236410937,254.368582929099,381.506365065925,631.715655002722,349.346301370064,360.04161658069,375.572549153491,394.994201303304,415.5368805112,378.853423305317,368.586736695788,576.727153005941,666.534968317064,832.713934781775,961.594701228969,957.599143629908,954.146219028936,967.570284317539,1722.25091538041,1260.1873300548
"CPA2",80.7687449480012,91.2065463056986,64.2185883257474,85.5348248931904,76.5799870174214,50.9147311187845,23.4026078748903,42.8421369113713,62.8626523805225,22.8157457838418,31.2103963314351,24.5801437044419,38.8300248994473,42.615703189569,50.0550797119478,101.449754399356,110.056604053456,107.038325733137,51.2860340645668,49.9999688685665,47.0143173776731,183.544809361319,177.130195108464,342.174249445547,291.896928165876
"CPD1",160.878409258016,154.970828192706,247.659186708009,338.395901272666,309.518205655281,203.824381108207,119.048124567886,138.682454998866,267.442046847711,129.707761432128,127.998686488831,119.625204139375,137.453794728748,154.484788832651,143.760986639531,224.361426344228,280.120582522044,289.735704250906,182.101671446454,184.506130091313,196.500189625702,386.690229681913,382.144988090604,681.996338922052,529.035848135532
"CPR1",2341.74009998745,2271.29749091526,5682.99396753929,5241.41120770698,3552.9056588147,2820.28464524293,2220.44798094076,2585.73769080631,2717.81982331858,3236.40763779162,2801.78254821525,2678.96418166172,2420.87153202557,2746.44925061374,2360.32902154803,4247.80164753363,4502.24710730399,5195.49547899763,2042.68644402117,1960.48812253003,2075.45715817905,8603.90356311011,8996.15571542736,14568.5088627119,10014.9439962804
"CPR3",964.111786251738,1003.52125304322,1253.21563302098,1180.59682433718,894.610585494383,602.017830343313,676.007663405759,670.810197594987,744.904281082048,708.630653942662,769.850167298083,646.351838660661,580.607510333012,650.671733032237,593.923296441034,703.384439903721,857.014668409314,964.806656423887,680.966024255425,651.996218150024,675.597740266727,1720.70527232537,1645.40710975355,2643.83975399275,1882.09438917625
"CPR4",128.213839368842,125.821145461605,204.41393593009,225.350732702002,179.838549870088,116.402584117406,82.7994676552125,114.755325255282,141.003789897033,90.6527733131451,110.462359680872,99.9596990248279,98.5719167107359,100.9476873994,97.4466051225846,157.113549529759,194.388378903812,200.026334966084,66.781194935134,68.4354546988323,70.9012546451769,291.477846157729,274.830006578034,481.982023175074,343.855396978637
"CPR5",141.254813294813,148.674583085582,592.954800487847,754.158010451378,518.80376688135,286.051292655444,204.774488813418,234.663977459941,431.149680155084,230.215985051598,245.988568398434,203.791094762597,206.533489557547,225.728797212325,213.761252214682,528.307997717453,632.689783927109,728.074152266264,283.019283911037,279.072921282546,300.813242753514,1908.5597445048,1643.9304913901,1736.11408835567,1272.03204237659
"CPR6",125.654886865387,120.725260667009,718.754652253668,348.316311772805,349.62726715493,195.679318255239,102.402440832613,164.240817043396,380.348045439241,96.2091964552461,120.369832353898,116.631426508895,177.614926139368,192.792195570387,188.744792309044,326.567659829373,319.437704981328,349.24837618107,218.425033738071,240.253146535203,233.085640258487,694.835171933815,705.984408318859,1056.4701878189,771.929764900798
"CPR7",6.91918851827415,7.06128414218193,17.7892326317958,22.500702115681,27.3801716642377,16.9770779509894,5.23597361464942,7.70227523784854,22.7737621458241,4.20080985636242,8.07898742550631,5.22416816538428,6.71147644750652,7.65664967539213,8.52792208032758,26.2018933695026,26.7301031662289,27.2602997100031,11.2990446366273,12.6027828750258,12.6985302489351,47.3564805897535,44.1342260240301,60.3196249447726,41.2758983525716
"CPS1",244.255949372355,243.611842735452,861.15962903619,1491.96253281574,1505.14694438112,440.024956793893,580.242800014028,772.833854249263,1150.71383990118,1379.53223420618,1444.00773715825,1465.07077628896,963.238920072228,987.818382045696,1026.99412319574,1182.38493432017,1517.30407681771,1831.55290345017,642.789397296996,571.376514207706,534.161762462295,1873.90548288159,1661.5502285944,3010.08332330189,2187.56363670101
"CRC1",4158.09141126122,4084.52755043499,881.068891745979,694.547936426381,752.793596475461,39.9485031093291,611.039909774035,645.459175897795,474.770234840462,1602.95233712438,1774.11461037323,1527.98111451185,847.974241524019,939.643107136714,912.182261692424,604.084083561706,823.357328897813,1015.01798983051,523.187014154805,296.658042106889,129.45827432503,2178.78014507696,1733.85511104523,3483.22195058873,2617.32910398067
"CRD1",35.230295688005,34.1882983129561,74.0148942248207,90.1035850522681,78.6642260010922,53.8176117363773,50.3275577378607,47.7699330893694,64.4636005838577,37.1122593966026,44.3367149882534,38.2742863382633,41.0452937618366,48.871790041067,50.0523303685075,95.438149184239,97.3654734015847,97.2148569787705,39.625678525188,37.5303107447731,39.5101804684319,147.309797893122,153.713038242019,255.455057911986,229.214993249116
"CRH1",129.33940122825,132.688289439611,266.887020999392,331.712497326623,309.453055009171,175.674724463276,97.538594588539,128.874551534404,291.002665585696,82.5805815780683,108.773428581806,80.7909133990179,123.004707741904,111.826198088804,101.007942635414,815.93718965473,672.342663772683,626.792384553898,103.234129745493,113.470193790801,118.181544133895,476.184275224359,411.836683542846,729.183548011887,487.694826643208
"CRM1",100.871620402035,105.123530117969,297.251268058926,287.80969420044,270.330900929643,108.536438895984,48.0737943591707,88.4920717839577,227.973150134602,67.9187421563822,89.7677345314168,85.7817262495666,88.7458299353379,94.5745562533772,103.64464515372,166.254869535281,219.72578349643,247.149088017716,116.693611682328,126.175859886183,126.733734371921,375.647034857801,384.723527797781,614.488831759751,462.28070728585
"CRP1",510.48120801326,511.644139819722,865.132764996166,1048.5047319985,776.13805422977,682.801431960117,334.907259330861,423.69318853662,643.723754399285,366.209002315961,405.954491151654,381.169064098088,428.291237150285,468.922267401337,447.730735520356,631.838254435395,794.051615535283,897.359266674501,562.192833212645,597.851527628137,622.213189687944,2010.15209377042,1912.08322983323,2153.41614639885,1588.98171344767
"CRR1",8.15129593491283,8.76014967030887,23.488028135223,24.765949159392,26.2131217874187,12.5865062519732,4.64820895367489,8.49010904128633,25.2543677881789,5.88682921417582,6.51088866225416,5.99769431457906,5.81759729669629,7.58147326146633,5.86310266273152,11.9143953752393,25.8210554877576,28.9392154413872,22.5696876531393,26.3128305339377,22.9750950704264,30.5399563605832,31.7669231299147,51.7421208824908,36.4913549702742
"CRT10",10.8785007674501,12.2921392733555,34.8983423917641,42.1417599406423,43.119868390818,20.579909753952,8.64775637261442,12.2768370302996,36.0556774416584,10.0572624412497,13.8097108157923,11.6386382977404,13.9317988708269,14.4173730223828,16.3930892690762,35.9991256108428,47.4175613221528,52.9770027806493,23.7445438115838,24.5128547060833,25.2261633283804,77.2428291447027,78.7878231767112,135.161110429521,104.436226058147
"CRZ1",84.9807635770307,90.6883371997281,72.1093968587096,77.4671981567474,66.1441921598453,57.7228776717573,84.4218792262821,71.8948947780624,54.3331621925702,87.6775140336891,90.8706709910596,72.6332440512573,93.1773641367637,102.710609658475,87.1984608324116,46.8869137578165,69.1502427969155,86.3342743103686,100.558745860782,97.9447425512012,99.4741124912912,179.437796888866,179.46314820519,323.448389913795,249.902902421076
"CSE1",32.5609197252368,33.7801235335621,96.5734294189222,114.951828350045,108.781448828523,46.3920964909732,26.305250811876,44.2862211344665,86.7414403643191,37.7567718567499,45.3533113249306,44.0737075567197,48.3643081217977,49.9611098117836,55.6804178813895,127.495533901421,118.397038160332,127.770904847702,54.4324871690246,51.9387922417712,52.6576747932934,203.912121566626,200.373348056797,282.393697227952,217.682872975614
"CSE2",49.5333702742219,47.525509023479,87.8434016410399,102.528608458128,85.6941922787742,72.8832343775516,38.5147148530523,42.947084795862,82.9040954108591,37.7396537968206,38.904153222179,34.8121395970441,48.6108682204929,53.6552390157147,50.9978016273388,82.7632089088525,92.6499564151664,96.9980591273623,65.0149785093198,68.7868568094165,74.3918021316312,171.915953005067,178.903426674934,267.13846641201,221.223888731627
"CSE4",32.1026719062314,33.4926046434314,68.8067127109466,98.6764805061897,98.0901154838729,51.7053070942659,43.5168756630227,45.8646689264589,87.2285037819231,36.5789128790367,42.838388623904,34.2757077697929,52.1277041394562,55.0180751244799,52.9505935978661,87.5746247861679,106.02435175228,111.481253566707,49.3526252297286,48.7529404666973,53.7747419484728,230.169033498206,214.418408355528,303.977503694371,218.371135963965
"CSF1",19.8179700345821,19.9724322522141,28.1183945564776,31.1353342775296,22.3698220078406,13.2508712047882,10.0308076991042,15.3172540786089,17.9793884999912,12.5702274985341,17.2206140445944,18.7082562052182,12.1942872530369,13.086514562194,13.8140981299215,19.6993812817773,25.5216753544687,28.2694734656466,11.8951869071255,13.1166439315277,15.4354990628456,47.7085082603715,45.1239999002042,70.864074606116,53.2683269182283
"CSL4",53.4886206760243,58.4852736340034,70.129466887516,94.0829464027544,100.717775241543,49.1414220904156,29.3744698646611,33.4142792384198,98.3075753557876,35.2786648890629,45.2481358305304,36.3378555974239,39.1071316386185,41.8640490968299,41.1509669959682,98.4559322099856,114.900113359578,119.995070722966,59.5754005927825,55.6083475531331,60.1829896965558,271.183900991275,240.993107557093,284.40744254706,193.094687423832
"CSM1",54.5672265120009,58.2942011763542,105.598133350274,139.184473467404,127.893331506062,71.9047559609989,58.7228602435646,60.9219933658961,99.2094348362901,47.5717982512395,57.1578098108021,43.6626071112114,61.5954678839656,64.6633545189545,60.3123326339489,102.485192290778,126.900124223242,137.475777744651,74.1371033143374,69.3372980352074,73.5992966360743,236.414779809001,207.1556663623,306.046128317898,224.720127159167
"CSM2",3.94563814215481,3.81128613447836,13.4380053257666,18.2570087767494,17.6019827639465,10.3742369345922,4.0773415356427,5.62471215382983,14.2084591791672,4.25958266825184,4.81890200071469,4.00980560950437,6.93389639975424,5.76546487465282,6.34313238209851,26.3757255224794,27.3024239229081,23.5584558908196,9.361824499854,9.92277777037147,11.269964092694,37.0645014848376,37.8832178738833,53.7319398505764,49.1770312500529
"CSM3",15.3485285581691,15.7297564387154,29.3647276987377,43.8080676628987,48.4071833319586,27.4107344659746,22.9579315793607,28.0645899322957,47.1436184337138,19.8507744939322,20.3557476281934,16.790685075442,31.7499890591089,30.1128874879402,27.077192346689,36.1698128331078,48.4670612264626,53.2935691369789,23.8661105477682,23.4687065828418,25.0326369933586,104.303488279636,97.7574755588498,142.433169529024,102.321334717715
"CSN9",56.1906032403081,53.3302450878164,106.603238327973,112.143661356026,109.453134154736,71.4557890332301,12.0313334027522,24.5918983533018,98.5665069230932,23.3656566790633,25.9314634447403,23.8675013535277,24.6443638176749,27.8015025200637,26.4499993217508,68.8013450164014,93.9627890260276,101.035713753478,62.4008476927645,69.271671153628,72.4674185524176,201.275640447741,173.704968659685,228.474967188516,175.826850938037
"CSR1",56.7163110930728,52.5193087593728,131.627764868745,138.348732850221,155.914981709995,65.8430647181367,57.2050940276964,78.9670592299739,137.180300512035,81.3112303872525,92.240907145081,86.0037682900652,82.3752542542169,80.0910388500271,80.6682447305217,247.33092816541,196.149733470582,201.116807700605,57.3090253116209,59.9172805176748,59.3755978731823,301.526935153133,240.153948634446,345.776912435299,235.789166834069
