"","GSM3713845_Galaxy26","GSM3713845_Galaxy513","GSM3713845_Galaxy518","GSM3713845_Galaxy523","GSM3713846_Galaxy528","GSM3713846_Galaxy533","GSM3713846_Galaxy538","GSM3713846_Galaxy543","GSM3713846_Galaxy548","GSM3713846_Galaxy553","GSM3713846_Galaxy558","GSM3713847_Galaxy563","GSM3713847_Galaxy568","GSM3713847_Galaxy573","GSM3713847_Galaxy578","GSM3713847_Galaxy583","GSM3713848_Galaxy227","GSM3713848_Galaxy232","GSM3713848_Galaxy237","GSM3713849_Galaxy242","GSM3713849_Galaxy247","GSM3713849_Galaxy252","GSM3713849_Galaxy257","GSM3713849_Galaxy262","GSM3713849_Galaxy267","GSM3713849_Galaxy272","GSM3713849_Galaxy277","GSM3713850_Galaxy282","GSM3713850_Galaxy287","GSM3713850_Galaxy292","GSM3713850_Galaxy297","GSM3713850_Galaxy302"
"ARP7",51.4802,67.855,55.758,59.4296,55.3641,63.6236,66.3541,62.1457,63.0877,60.6248,70.8956,43.2238,48.7385,45.8265,47.3737,45.1714,18.4701,13.9588,12.4678,9.69921,11.317,10.4826,8.92319,13.4016,10.6445,11.3901,13.028,10.5308,10.9183,14.2557,10.6669,21.07
"EAF6",104.812,124.901,90.6195,94.2553,100.038,125.959,152.216,157.246,136.745,123.189,48.9753,126.352,96.5435,75.508,118.658,142.413,130.42,90.4988,96.2311,123.753,128.21,158.193,127.118,114.465,137.769,118.832,186.594,108.181,99.2436,116.975,90.3621,32.5053
"AIM24",140.731,147.371,141.618,149.567,191.333,174.434,191.254,183.067,193.326,187.255,150.109,195.971,175.011,182.718,189.621,157.734,161.109,152.11,129.78,95.4329,89.2774,80.3515,92.5821,81.9996,83.1224,87.4013,90.4517,91.8338,88.7205,102.801,98.488,101.554
"HARS",281.573,302.25,286.401,298.044,226.87,253.209,239.281,244.579,241.565,258.08,249.615,240.886,239.695,238.589,254.567,203.617,163.72,156.087,170.818,116.713,129.914,113.198,122.499,114.921,117.627,123.066,131.523,112.971,116.393,111.081,104.678,116.977
"KLMA_70128",33.3517,32.4044,43.924,19.7513,75.4671,53.061,64.9327,71.2904,77.7404,71.819,47.3547,75.6652,62.2267,75.4128,77.5204,28.9919,50.5916,65.083,41.8009,65.6158,77.9482,76.3971,68.2532,38.4177,65.0028,53.583,74.9794,63.3308,58.7705,75.0102,58.7198,39.4717
"SRO77",27.693,28.6639,27.3247,31.246,14.1074,19.1137,18.6943,19.7794,19.7769,16.6405,24.8983,14.3537,14.6371,14.6604,13.8737,16.351,22.4209,18.9259,19.3486,24.6684,22.7382,25.9571,24.9165,24.9115,22.7331,24.6825,23.9186,33.2034,37.1963,33.4135,39.1753,23.4386
"PKC1",62.9191,57.8868,61.6294,64.2089,46.7585,61.7884,56.6923,48.1143,51.6588,49.8458,52.1051,43.6151,41.6365,38.2361,38.0393,46.1733,73.6577,82.7378,76.5783,42.8605,39.6634,39.9712,37.1189,37.5826,42.6175,39.1467,37.057,64.5213,58.6279,63.7842,57.7721,92.4635
"SEA4",28.3612,28.6159,32.0893,31.2563,28.0537,34.8843,32.1501,32.4639,34.1048,32.3058,32.0886,29.6009,27.1063,26.6249,29.096,28.2639,32.5924,29.4935,35.0738,19.0162,18.0111,22.1455,19.1871,18.2797,18.4075,18.3076,22.3341,25.8934,30.0053,25.4554,24.7861,26.5208
"NTO1",19.1585,18.5331,20.3064,18.7035,35.2542,39.3771,40.713,37.9378,37.9494,35.57,45.5829,29.9542,30.8037,27.7407,30.1511,27.9641,35.5435,32.4662,32.4177,32.6319,37.416,37.7799,37.025,34.9601,37.2683,33.1694,37.2761,42.1027,38.1843,40.0076,37.639,46.1089
"RTG3",49.677,50.524,50.8847,46.8384,85.1398,87.4395,88.6283,94.8078,91.3031,93.0725,78.5326,63.59,68.1271,73.6041,64.4122,69.1602,33.9946,36.6811,33.5578,21.298,22.7227,26.4153,27.2504,26.1992,24.2697,24.5151,36.5147,43.639,53.6952,47.4345,52.1761,51.1994
"SFT2",116.764,102.242,102.669,101.886,158.052,145.662,109.414,99.0051,105.964,104.391,91.1577,112.315,112.882,101.245,109.587,113.445,40.4605,38.5917,28.4627,52.513,67.2965,57.818,59.422,47.7101,47.7947,35.0289,44.232,66.6953,55.5224,58.0224,53.8829,96.6469
"ECM21",44.0898,42.2439,42.1451,40.5813,50.4454,59.002,59.095,62.2165,63.1497,61.35,60.6174,46.8895,44.2708,43.671,44.0261,37.7462,59.8998,61.7752,59.5789,54.0485,53.8338,46.2017,54.8956,56.4844,54.1997,51.7938,57.6416,78.7035,84.0832,84.0811,80.6368,85.0827
"APL4",50.8818,50.5874,52.4126,50.9821,51.759,54.9875,49.8678,48.7053,52.3827,50.9372,51.2891,41.5357,39.4598,42.5397,38.657,35.2137,27.3428,24.0964,30.1066,17.6052,17.716,17.9084,19.6718,21.0604,16.1148,17.8617,15.7791,20.0843,26.8901,21.841,25.2942,30.7781
"YOP1",845.993,805.665,801.448,775.88,1193.37,1463.54,1243.21,1315.38,1187.8,1242.91,1290.05,1209.96,1270.93,1242.21,1192.4,1230.76,953.639,1003.74,1030.34,908.584,805.252,867.22,863.089,768.786,783.118,882.781,777.324,975.115,749.828,805.289,741.471,717.07
"ATH1",13.329,15.3814,14.3799,11.3184,16.3622,21.8108,20.5152,21.5989,19.4729,20.7464,23.3168,12.9468,10.4301,11.5336,14.3859,15.2669,8.10028,11.56,10.1662,7.91422,7.27716,7.97308,8.59393,8.58503,7.87088,7.91361,6.42135,13.7631,14.0413,13.6424,15.8667,17.2735
"ATP1",786.997,778.938,746.883,760.385,645.439,696.603,698.451,691.681,676.671,707.729,802.375,530.74,531.155,560.428,509.921,516.309,794.847,804.769,786.189,326.269,323.281,312.595,307.17,308.827,323.658,332.46,331.806,440.455,443.696,442.255,461.185,374.554
"CCL1",32.4841,44.8662,40.286,40.6721,43.4162,43.2299,41.8873,52.0806,45.5918,44.6792,25.3772,45.6114,41.9265,44.4677,46.9608,52.4055,24.5763,29.4434,37.9971,21.5936,24.4271,31.2958,26.8014,28.2114,21.8912,24.6953,26.6109,38.1317,33.9105,34.5908,31.5178,49.3626
"YME1",94.1372,92.3124,90.8286,105.233,141.855,168.628,165.191,166.611,176.242,168.83,158.053,156.703,134.356,144.387,157.859,138.934,187.499,191.751,196.953,116.085,125.562,119.293,127.378,122.528,124.14,122.853,127.861,150.477,156.405,153.435,157.675,170.855
"BRN1",30.3788,25.6224,29.4966,25.6792,16.9912,29.2282,23.7021,20.1405,25.4915,22.814,27.1302,24.3468,22.4705,24.9728,24.7817,27.2473,23.3549,20.5397,23.6391,12.9006,12.0198,12.7917,12.388,12.3414,11.221,12.4477,19.3465,17.6654,18.1386,16.0768,16.3462,20.3932
"KLMA_70146",69.018,57.4697,73.9645,63.8692,80.1272,92.8489,84.3575,90.9634,75.8355,79.3232,71.1153,72.1541,72.544,69.9978,67.6272,60.2318,41.2106,33.8786,64.7835,41.2487,32.5118,39.8556,38.7355,43.1493,38.0203,35.5352,29.7399,45.1697,33.1734,39.7415,34.3514,24.0007
"GLO3",179.68,179.885,182.77,182.214,112.726,141.023,149.594,154.791,145.877,144.29,129.527,121.955,111.828,113.716,110.61,110.312,124.468,130.572,139.327,91.2887,92.8043,93.7849,100.559,91.4903,97.4178,103.147,98.6922,119.68,125.078,127.172,129.834,144.711
"ROX3",375.643,373.178,367.434,327.258,425.789,382.187,383.748,402.471,393.771,392.152,432.968,363.909,328.783,344.049,368.288,347.303,360.011,341.422,326.406,237.566,247.732,233.989,216.827,229.793,237.259,248.769,211.709,379.35,288.206,304.908,344.188,381.587
"RPL32",5648.21,5641.97,5437.33,5434.81,5188.46,4743.56,5029.08,4928.86,4839.83,4739.18,5359.52,5211.55,5284.06,5377.3,5382.31,4644.76,5384.8,5530.38,5693.55,3894.76,3931.74,4062.71,4075.28,4115.9,3957.05,4004.24,3978.77,3311.91,2388.39,2386.49,2388.11,2172.8
"MAP2",157.477,169.857,175.494,158.88,146.446,167.904,177.692,181.303,180.372,177.272,203.56,176.893,183.444,180.203,173.628,196.517,359.792,373.615,371.474,176.036,184.417,177.299,167.589,178.2,180.33,176.928,185.406,200.798,195.159,186.739,198.929,190.326
"KLMA_70151",220.687,275.318,230.079,254.671,186.618,286.145,266.038,284.714,247.66,299.698,321.273,224.126,215.543,222.942,221.194,227.37,502.329,527.268,459.022,336.49,355.232,350.038,335.763,345.318,401.503,336.044,290.572,254.877,194.787,233.245,228.456,335.832
"AVT6",42.1183,47.6901,45.9179,49.8456,80.2142,103.504,93.642,91.6382,97.9087,92.4328,83.8183,54.4084,49.704,55.124,51.9795,69.8394,33.409,28.9332,32.6598,14.0769,11.1317,9.33628,11.7731,11.8868,11.8464,10.6347,7.91713,15.5031,28.1276,21.3417,20.7747,21.0843
"SHO1",55.2796,52.5925,47.4855,51.7511,39.4674,38.8554,47.952,43.7118,47.1584,42.4718,42.7332,32.2704,29.9295,31.7025,30.8538,18.0684,28.9064,27.7464,41.5411,35.3477,31.6181,25.1446,27.3666,31.2183,25.2212,24.3126,18.8637,34.2391,40.5808,40.8486,45.8253,87.1439
"TEL1",10.7369,10.3382,10.3105,9.39016,8.67186,10.2134,9.5255,9.73368,10.6778,9.96034,9.12523,11.8382,11.2803,11.938,11.3518,12.3997,9.77867,10.5305,9.34693,8.24531,9.24177,7.73724,8.6746,7.50988,8.69181,8.19998,10.7447,7.99295,9.84576,8.17868,8.87758,7.80141
"RPL23B",3934.59,3881.29,4020.35,3792.07,5044.51,3541.17,4224,4299.79,4138.41,4210.06,4935.81,6561.81,6275.96,6501.16,7043.54,4899.37,3094.83,3009.51,2635.9,2496.32,2753.59,2810.89,2868.61,2843.61,2694.53,2730.33,2880.05,2189.01,1569,1670.09,1697.96,1981.81
"KLMA_70156",26.5771,24.5289,18.2194,21.132,23.3391,37.126,30.4252,27.5509,30.8677,31.8743,40.2595,28.1005,24.6621,20.9751,29.2961,33.328,110.399,118.312,126.585,50.4601,40.497,42.4247,46.2646,49.8643,49.8325,51.217,48.4189,93.7919,90.4386,92.2876,96.0773,20.3478
"KLMA_70157",30.0187,27.2432,30.7572,27.2134,68.7965,41.4651,37.6772,39.8255,31.9236,33.0859,10.7063,39.8493,39.3035,40.6804,23.8175,49.6337,127.75,119.098,102.027,115.462,136.362,162.258,141.267,127.783,143.838,147.466,130.692,115.469,92.6095,115.025,127.135,89.6938
