"","GSM15965","GSM15966","GSM15967","GSM15968","GSM15969","GSM15970"
"36191_at",109.8,130.7,32.2,182.4,134.5,149.6
"36192_at",1897,2420.6,1695.5,55.9,641.5,1115.7
"36193_at",256.3,582.9,1075.3,416.6,192.7,764.6
"36194_at",3917.2,3330.3,3407.2,2502.6,2280.4,3215.2
"36195_at",541.4,603.1,534.9,537.4,635.4,429.7
"36196_at",1459.7,1435.2,2446.7,2674.1,1922.6,1374.1
"36197_at",9418.7,8521.9,8167.1,650.2,533.4,2562.4
"36198_at",4088.1,2801.8,3686,1537.9,1667.9,1758.2
"36199_at",4190.7,4282.4,5077,3548.3,2120.4,4992.2
"361_at",1012.5,901.5,702.9,852.6,1342.4,179.4
"36200_at",1190.7,1294.3,1118.9,2072,780.7,1678.9
"36201_at",3603.3,3446.9,4216.3,4302.7,3303.1,1647.6
"36202_at",30.3,43.1,28.3,62.5,120.5,59.9
"36203_at",3427.5,3685.6,3068.5,672.6,600.5,1238.8
"36204_at",1307.5,1701.7,1672.6,329.1,822.1,1719.8
"36205_at",591.9,288.4,349.7,287.9,674.2,871
"36206_at",172.8,33.7,39.2,128.3,197.9,55.2
"36207_at",4427.8,4025.4,4861.7,9000.4,8741.2,3022.9
"36208_at",3072.6,3237.9,3646.1,3890.4,5105.3,3582.7
"36209_at",2798.4,3273.5,3519.3,2726.9,2489.7,2702.8
"36210_g_at",1519.1,1953.6,2174.5,2446.2,2147.3,1987.7
"36211_at",2000.2,1861.7,3132.1,1769.1,1630.2,1328
"36212_at",186.3,150.7,49,75.4,432.1,145.3
"36213_at",67.3,96,76.9,873.8,342.7,686.8
"36214_at",462.8,379.8,233.1,968.3,1445.8,188.6
"36215_at",400,506.8,485.8,54.7,287.1,245.1
"36216_at",550.5,358.8,339.5,203.7,96.4,353.6
"36217_at",454.4,479.9,594.3,403.9,464.8,392.7
"36218_g_at",1709.8,1217.8,1696.9,1374.3,1674.9,1298.7
"36219_at",177.3,225.4,191.9,96,236.3,248.4
"36220_at",29.3,37.6,20,174.9,131.7,294.3
"36221_at",83.5,307.5,246.8,342.7,277,225.7
"36222_at",2434.9,3097.5,2338,2482.1,3487.1,3102.6
"36223_at",155.2,235.1,318.3,314.4,29.8,300.7
"36224_g_at",5945.1,4820.1,6077.6,5381.2,5013.1,2456.3
"36225_s_at",734.7,821.7,777,921.2,1032.4,455.5
"36226_r_at",178.6,327.6,165.1,607.2,1098.9,288.9
"36227_at",20.6,167.4,123.2,254.8,689.6,233
"36228_at",332.6,588.1,109.3,442.4,906.5,115.2
"36229_at",935.5,1274.7,1439.1,1172.4,725.9,1191.8
"36230_at",199.9,449,253.4,374.1,257,334.5
"36231_at",657.9,764.9,1112.7,1284.7,1396.8,607
"36232_at",38.6,63.3,16,170,54.6,26
"36233_at",128.7,241.4,54,745.4,781.8,102.2
"36234_at",655.8,333.3,484.1,1094.8,334.6,540.4
"36235_at",407.1,254.3,379.8,552,487.3,458.1
"36236_at",301.1,270.9,249.1,327.8,448.2,100.4
"36237_at",1815.1,2011.9,1199.2,3952.7,3685.1,4836.1
"36238_at",1413.4,313.8,2729,805.4,388.4,1698.1
"36239_at",52.3,199.4,81,40.1,26.8,171.5
"36240_at",102,298,345.9,85.3,107.3,150.8
"36241_r_at",199.2,81.4,10.7,493.4,299.3,77.9
"36242_at",768.4,1086.3,640.4,589.3,1181.7,883.2
"36243_at",193.4,100.9,53.7,143.9,160.5,94.7
"36244_at",17.4,104.9,21.2,53.8,69.7,40.2
"36245_at",234.3,406.6,336.4,326.1,273.6,272
"36246_at",276.4,288,70.6,294.6,260.8,436.7
"36247_f_at",44.6,63.4,216.4,137.9,119.4,121.9
"36248_at",702,242.1,1043.5,190,292.2,1281.4
"36249_at",45.7,12.2,15.8,160.3,71.9,43.8
"36250_at",478.9,382.2,160.8,345.5,1228.5,322.7
"36251_at",124.4,116.2,70.1,154.8,204.8,257.9
"36252_at",334.9,408.1,360.4,879.9,889.8,642.7
"36253_at",87.4,70.9,131.2,35.8,45.1,89.4
"36254_at",14,9.2,18.5,23.9,39.2,264.1
"36255_at",185.2,72.2,152.2,96.5,395.5,36.7
"36256_at",168.3,137.7,187.5,114.8,745.2,69.9
"36257_at",89.8,89.7,116.1,277.2,328.2,165.3
"36258_at",219.6,187.7,240.9,73.4,226.3,98
"36259_at",194.8,83.3,155.7,116,132.5,80.6
"36260_at",981.6,253.5,995.7,1258.3,1730,563.9
"36261_at",452.3,72.2,95.9,859.6,444.3,338.6
"36262_at",1323.2,1231.3,1083.3,589,940.1,1075.6
"36263_g_at",854.8,1272.4,915.9,764.3,468.5,744.1
"36264_at",457.2,158.6,1128.7,2367.8,454.9,1552.5
"36265_at",225.7,165.5,170.9,589.2,144.9,137.4
"36266_at",1989,1720.9,1986.3,1394.2,2471.7,498.1
"36267_at",65.7,411.4,287.7,344.8,277.3,655.9
"36268_at",149.4,47,59.9,656.1,603.5,416
"36269_at",61.9,38.8,39.2,204.3,204.5,271
"36270_at",122.3,235.2,181.5,343.9,123.2,398.1
"36271_at",135.8,211.2,501.8,746.8,511.6,645.9
"36272_r_at",135.5,104.5,51.5,294.7,191.8,276.3
"36273_at",39.6,65.1,29.7,104.2,73.2,84.2
"36274_at",166.4,76.9,73.5,137.4,100.7,81.3
"36275_at",389.7,680.8,851.3,1637.9,2105.1,810.3
"36276_at",1945.6,2404.4,1814.8,3557.7,3755.9,4398.1
"36277_at",671.2,494.5,613.7,588.4,1448.9,1165.4
"36278_at",170.9,305.3,438.2,893.3,337,629.9
"36279_at",173.3,708.9,494.7,339.9,793.4,561.9
"36280_at",54.8,25.4,67.8,76.8,496,68
"36281_at",397.2,342.4,856.2,246.2,492.7,716
"36282_at",56.1,148.3,235.7,647.2,131.8,461.3
"36283_at",34.1,265.4,81.4,110.9,790.4,274.4
"36284_at",38.5,78.9,64.7,130.1,101,87
"36285_at",1634.5,1780.5,1467.2,1233.8,2405.2,1485.3
"36286_at",593.2,625,171.5,1014.9,291.9,157.4
"36287_at",138,21.5,110.4,235.4,285.7,50.4
"36288_at",104.2,141.9,241.2,257.5,404.1,262.7
"36289_f_at",2001.7,1661.2,834,1921.5,849.6,2717.6
"36290_s_at",129.4,208.3,89.3,1707.1,1008,1505.4
"36291_at",45.6,58.1,84.9,133.8,147.8,94.5
"36292_at",54.5,224.4,77.5,455.3,529.8,146.9
"36293_at",60,69.9,27.9,191.6,68.8,64.2
"36294_at",54.4,67.7,144.8,368,327.6,279.2
"36295_at",364.4,356.3,307.5,326.4,341.7,331.3
"36296_at",124.1,275.2,61.1,415.6,693.3,75.9
"36297_at",298.1,52.7,43.9,457.6,230.2,103
"36298_at",1528.4,2573.7,1111.6,1798.6,2755.8,1464.5
"36299_at",91.7,105.3,53.1,92.9,135.1,114.8
"362_at",339.7,405.3,260.2,170.6,220.3,426
"36300_at",44.7,56.9,26.6,71.5,76.2,76
"36301_at",116.2,106.3,88.9,655,706.4,295.3
"36302_f_at",49,240,160.3,87.8,574.5,266.6
"36303_f_at",650.6,320,349.1,550.5,586.5,626.3
"36304_at",57.3,83.9,69.9,164,97.8,273.7
"36305_at",47.1,43.6,40.2,154.7,127.7,195.8
"36306_at",357.9,241.1,402.8,469,1077.2,780.9
"36307_at",805.7,1229.8,663.3,1782.2,1929.2,1985.5
"36308_at",87.4,99.3,24,47.9,142.1,48.2
"36309_at",7.4,4.1,13.4,274.5,51.4,82.5
"36310_at",126.3,222.6,274.4,392.8,467.3,227.8
"36311_at",279.3,227,284,70.4,380.5,411.9
"36312_at",291.9,242.4,141.3,46.8,122.5,43.2
"36313_at",174.5,198.8,199.3,32.7,57,17.5
"36314_at",339.7,820.3,417.1,428.9,678.8,451.4
"36315_i_at",714.9,358.5,475.8,914.3,1236.9,437.4
"36316_r_at",159,197.9,102.7,410.3,449.1,279.4
"36317_at",182.9,99.7,25.4,269.6,111.9,50.6
"36318_at",37.3,43.8,46,95,114.7,87.7
"36319_at",23.9,19.4,33.5,181.2,95.7,52.2
"36320_at",19.5,50.7,19.7,38.3,45.2,16.5
"36321_at",166.1,19.7,20.5,55.8,44.7,72.4
"36322_at",220.5,452.4,328.3,653,341.9,415.3
"36323_at",148.1,56.5,142.3,201.7,55.9,284.8
"36324_at",32.6,30.3,28.6,158.3,209.4,183.1
"36325_at",25.5,134.7,113.2,72.1,101.7,355.8
"36326_at",14.6,145.1,20,334.3,209.4,178
"36327_at",184.9,54.4,208.6,330.3,146.9,306.6
"36328_at",459.7,456.3,581.8,564.9,1433,1096.5
"36329_at",24.9,16,92.6,46.8,45.5,337.8
"36330_at",3029.2,3519.8,4576.6,2361.3,1745.6,1759.1
"36331_at",474.4,524.2,150.9,520.4,341.6,51.1
"36332_at",1914.5,745.3,1601.3,2925.2,4772.4,2238.8
"36333_at",12471.2,13329.4,17587,10100.5,12888.4,7282.4
"36334_at",577.8,579,569.3,379.1,806.2,1405.7
"36335_at",191.9,103.6,66.5,80.3,118,148.6
"36336_s_at",1127.7,1306.9,1316,884.1,263.2,1384.4
"36337_at",594.4,927.1,737.5,1064.3,1559.8,1126.9
"36338_at",1480.3,1838.6,1955.3,2414.7,3896.7,2161.6
"36339_at",170.7,147.9,16.5,96.3,427.5,345.7
"36340_at",248.8,111.2,111.5,181.6,210.1,97.2
"36341_s_at",271.1,105.6,22.5,33.9,78.2,204.4
"36342_r_at",74,9.5,36.5,147.7,51.9,156.8
"36343_at",111.8,11.2,36.4,112.3,396.7,365.1
"36344_at",134.4,112.3,99.8,284.7,360.7,180.8
"36345_g_at",175.8,159.8,187,523.4,386,80.1
"36346_at",40.5,62.4,58.1,257.6,136.2,116.6
"36347_f_at",650.6,604.8,348.4,603.6,787.3,766.3
"36348_r_at",22.1,6,5.6,27.5,72.8,14.7
"36349_at",60.1,96.3,45.1,505.4,121.9,82.9
"36350_at",36.5,90.9,35.1,146.5,138,88.9
"36351_at",45.3,59.4,50,112.2,147.1,124.1
"36352_at",56.6,446.6,822.1,220.3,1610.8,199.2
"36353_at",22.1,52.6,29.6,75.2,73.7,43.9
"36354_at",431.2,507.6,236.1,272.2,984.7,329.7
"36355_at",144.1,674.2,306.8,774.4,432,670.9
"36356_at",103.2,78,72,138.6,181.9,169.5
"36357_at",199.6,187.5,143,49.7,293,186.9
"36358_at",14515.1,11889.3,15433.2,10899.7,9644,6446.7
"36359_at",242.6,376.4,368.1,817.5,1509.9,1172
"36360_at",113.1,152.9,104.6,53.3,123.7,266.8
"36361_at",625.6,528.4,688.2,44,669.9,995.8
"36362_at",505,479.8,707,95.3,121.8,314.6
"36363_at",59.6,53.4,134,64.1,79.7,429
"36364_at",592.3,81,275,959.4,2020.1,511.7
"36365_at",149.9,206.9,250.4,373.7,44.9,251.8
"36366_at",8.3,32,19.9,67.4,207,12.9
"36367_at",12.8,18.7,24,30,126.6,82.4
"36368_at",434.2,662.2,371.6,1325.8,1046.3,835.1
"36369_at",465.5,644.7,1147.4,287.3,360.7,1055.3
"36370_at",32.1,46.9,5.7,331.8,69.2,8.8
"36371_at",252.6,606.3,301.1,594.6,1031,359.5
"36372_at",158.8,376.5,266.8,541.5,308.3,1594.9
"36373_at",77.2,110.3,38.7,565.1,274,80.6
"36374_at",169.7,30.9,27.3,397.6,99.2,190.6
"36375_at",698.6,1013.4,578.6,1969.8,1221.5,600.8
"36376_at",283,449.9,196.2,81.3,165.1,53
"36377_at",803.2,907.5,1292.7,1315.9,1798.5,693.6
"36378_at",1141.6,912.3,935.8,794.2,2668.1,552.8
"36379_at",389.4,368.1,376.1,695.8,210.4,283.6
"36380_at",48.1,215.4,136.3,268.6,271,370
"36381_at",118.5,82.9,62.2,609.1,135.3,304.1
"36382_at",27.1,23.4,49.8,13.5,64.7,74.7
"36383_at",461.9,391.9,1293.2,2186.8,1390.1,1342.6
"36384_at",22.6,68.8,31,37.6,107.6,34.3
"36385_at",215,51.7,22,40.9,66.3,41.5
"36386_at",57.9,174.4,34.8,113.9,62.4,222
"36387_at",41,48.9,36,404.4,844.1,103.1
"36388_at",155.2,235.5,25.9,313.1,284.7,504.9
"36389_at",8.2,17.8,83.7,29.4,25.1,11.4
"36390_at",176.8,98,20.2,59.2,104.9,73
"36391_at",464.8,788.7,608.5,874.1,1019.7,538.7
"36392_at",268.8,94.6,329.4,38.8,90.8,313.9
"36393_at",136.9,129,109.5,416.2,599.8,674
"36394_at",55.5,166.2,91,93.9,272,407.4
"36395_at",77.7,144.2,110.9,16.1,46.7,38.9
"36396_at",2222.3,2093.4,1875.9,637.1,518.4,477.2
"36397_at",39.5,134.7,9.5,207.3,139.6,135
"36398_at",705.7,768.3,561.2,136,883.7,1219.9
"36399_at",308.4,227.6,154.4,254.8,519.4,382.2
"363_at",510,520.5,520.4,401.9,1068,129.9
"36400_at",72.7,14,5.2,49.9,100.8,41.2
"36401_at",60.7,173.1,98.1,460.6,775.9,148.4
"36402_at",44.3,38.3,31.5,66.7,58.7,188.8
"36403_s_at",185.1,234,227.6,745.2,1004.4,558.7
"36404_at",316.1,237.3,236.8,462,171.8,74.2
"36405_s_at",37.8,70.7,27.3,382.8,190.5,201.2
"36406_at",165.3,286.6,304.2,313.1,206.7,1040
"36407_at",757.1,840.7,875.9,664.6,2515.3,1794.6
"36408_at",229.7,399.6,389.9,196.2,673.7,244.2
"36409_f_at",17.9,30.2,16.6,14.5,231.6,50.7
"36410_f_at",229.1,350.9,182.8,99.1,532.9,336.3
"36411_s_at",586.9,543.3,382.5,967.5,862.6,1189.2
"36412_s_at",2375.3,2639.2,671.3,607.5,703.8,976.7
"36413_at",193,77,170.6,259.6,311.5,257.8
"36414_s_at",266.1,240.7,191.8,45.5,277.3,215.6
"36415_at",9.9,6.2,12.3,36,30.7,13.1
"36416_g_at",109.4,60.4,232.5,251.7,126.1,80.4
"36417_s_at",1534.1,2096.3,1456.9,2045.5,1551.5,2614.2
"36418_at",157.1,151.3,275.3,462.2,1050.2,314
"36419_at",8.9,15.7,5.7,167.1,33,17.7
"36420_at",29,80.4,228.2,50.3,108.9,21.2
"36421_at",353.4,600.5,313.1,683.6,1193.5,270.7
"36422_s_at",2089.9,2284.4,1817.6,2589.5,1460.8,2490.2
"36423_at",2281.5,2034.2,4889,1172.8,493.7,1952.7
"36424_at",79.4,189.4,82.9,160.8,68.3,22.9
"36425_at",475.6,451.2,193,48.1,154.7,92
"36426_g_at",472.9,495.9,375.1,500.2,144.7,157.7
"36427_at",293.5,360.3,542.8,106,420,68.4
"36428_at",50.4,101.1,84.7,217.1,328.5,135.5
"36429_at",122.7,166,173.3,184.7,438.8,480.3
"36430_at",69.3,57.7,51.7,169.5,171.2,117.5
"36431_at",478.7,456.8,146.5,852.8,132.7,678.7
"36432_at",198.6,133,49,424.6,192.2,126.5
"36433_at",85.1,125,99.2,125.6,40.9,39.9
"36434_r_at",9.9,17.8,34.1,92.7,127.3,47.5
"36435_at",53,122.9,107.5,24.1,30.5,337
"36436_at",140.8,111.3,95.4,237.6,338,100.6
"36437_s_at",130,172.4,156.4,85.5,211.1,212.1
"36438_at",47.1,27.1,43,66.9,54.4,34.9
"36439_at",397,124.9,141.7,89.9,834.7,201.6
"36440_at",383.8,954.5,618.7,592.1,855.6,437.8
"36441_at",124,261.9,42.7,101.2,399.3,52.6
"36442_g_at",72,323.4,299.7,752.5,282.3,162
"36443_at",702,194.7,149.8,654.5,272.6,351.7
"36444_s_at",188.5,132.7,108.8,1414.6,1179.6,43
"36445_at",65.2,101.1,256.7,2016.9,1806.9,138.7
"36446_s_at",2867.9,3264.6,2873,1754.7,1998,1784.4
"36447_at",577.6,388,453.5,492.2,383.8,1669.4
"36448_at",716.3,825.9,464.9,343.6,513.1,596.2
"36449_s_at",477.6,409.9,82.8,274.8,668.3,735.4
"36450_at",75.4,312.1,64.3,242.2,363.6,211.5
"36451_at",4844.3,5438.2,4944.4,5769.1,5474.1,6492.6
"36452_at",61578.5,62984.9,28984.6,16860.1,14059.7,30979.6
"36453_at",2522.3,2462.4,2018.9,580.8,546.3,370.4
"36454_at",2339,2771.9,4200.5,4281.5,4845.3,1232.7
"36455_at",37.4,23.2,18.6,371.1,148.4,99.4
"36456_at",498.8,669.2,548.4,399.8,419.9,85.7
"36457_at",405,383.3,398.3,545.8,90.4,231.1
"36458_at",896.8,886,662.4,692.3,663.8,620.9
"36459_at",883.7,986.5,510.9,187.3,494.4,561.6
"36460_at",219.7,110.8,122.5,77.2,144,91.7
"36461_at",619.4,678.7,844.5,993.7,359.4,918.6
"36462_at",712.5,763.9,598.5,1480.2,1686,1393.8
"36463_at",1292.3,874.2,1443.3,936,1101.8,1094.5
"36464_at",171,199.8,89.9,413.9,592.2,491.4
"36465_at",693.4,766.8,579.9,1093.7,610.1,1370.7
"36466_at",170.1,272.8,63.7,70.6,61.4,266.2
"36467_g_at",75.5,46.3,30.9,88.1,63.1,47
"36468_at",460.1,251.2,194.5,445.8,634.9,773.4
"36469_at",380,280.9,79.3,65.5,190.3,77.1
"36470_s_at",105.6,33.6,15.2,35.8,48.8,45.8
"36471_f_at",361,301.8,205.4,124,686.5,166.2
"36472_at",2609.2,3255.2,725.7,1245.4,1013.9,955.4
"36473_at",1388,1437.6,1627.7,1402.9,1454.3,2292.4
"36474_at",761.5,969.4,992.2,254.5,704.8,496.8
"36475_at",1590.4,1030,1058.6,2573.7,1879.3,1199.9
"36476_at",169.8,229.7,237.5,199.6,148.5,28.3
"36477_at",18.3,46.3,74,13.3,35.3,11.9
"36478_at",30.5,175.5,25.3,37.4,148.8,153.6
"36479_at",1026.2,832.6,893.6,449.7,610.6,1419.9
"36480_at",983.6,515.7,871.2,884.3,1235.8,999.6
"36481_at",28.3,16.6,102.3,339.3,191.4,19.5
"36482_s_at",914.8,409.9,1825.1,3072.6,2024.3,2272.2
"36483_at",30.4,9.1,31.3,29.2,34.6,75.5
"36484_at",129.9,86.2,35.7,58,95,82.9
"36485_at",431.3,325.9,793.9,692.2,517.3,277.4
"36486_at",44.9,224.7,184.7,32.6,253.3,214.9
"36487_at",46.4,13.1,99.8,149.5,75.4,29.6
"36488_at",2414.5,2648.9,1857,791.3,537.5,979.3
"36489_at",906.4,1003.1,1127.4,850.5,541.5,1000.5
"36490_s_at",860.8,309.4,632.8,182.9,175.2,127.1
"36491_at",388.3,356.6,502.2,99.7,842.2,585.9
"36492_at",1536.7,1623,2380.8,679,1221,2446.3
"36493_at",358.3,291.3,273.1,52,645.9,1104.4
"36494_at",353.4,350.2,208.2,497.7,315.2,218.6
"36495_at",2228.8,2357.4,1231.9,6434.5,2950.5,4587.3
"36496_at",853.1,757.9,804.8,1665.3,1635.9,1986.3
"36497_at",42.9,49.5,30.7,177.7,147.4,253.9
"36498_at",240.1,168.4,162.6,653.7,164.5,130.1
"36499_at",928.2,1018.6,711.7,725.5,417.2,418.8
"364_s_at",141.8,36.9,191.7,143.5,169.9,121.5
"36500_at",672.5,921.2,568.6,968,1037.4,995.6
"36501_at",241.8,291.9,248.4,598.6,718,19.1
"36502_at",1056.6,1389.8,920.5,387.3,373.9,432.1
"36503_at",109.9,167.7,89.9,835.8,330.1,120.3
"36504_at",86.1,398.6,441.7,452.7,561.5,608.1
"36505_at",127.4,47.8,28,91.9,118.8,69.9
"36506_at",1068.7,730,453.5,314.3,293.9,539.7
"36507_at",983.7,1022.1,546.3,1144.6,318.3,1181.8
"36508_at",392.1,359.4,362.5,10.7,79.7,17.5
"36509_at",856.1,1376.6,798.2,965.5,1946.1,605.5
"36510_at",117.4,249.4,198.6,420.4,99.7,91.6
"36511_at",1756.5,2136.5,1968.9,641,1065,590
"36512_at",38.9,51,46.1,105.3,381.8,46
"36513_at",51.4,63.4,4.4,267.1,89.2,432.6
"36514_at",374.2,500.8,476.4,289.8,601.2,802.8
"36515_at",1522.4,1380,1362.9,508.4,960.2,643.2
"36516_at",336.4,353,458.1,250.4,485.2,743.3
"36517_at",2464.6,3163.7,3707.2,3868.3,5007.6,3311.9
"36518_at",641,96.6,108.1,127.6,992.6,87.5
"36519_at",792.7,723.2,731.2,936,1049.4,941.9
"36520_at",43.7,39.7,49.9,55.1,33.9,55.3
"36521_at",91.2,30,130.7,59.5,71.8,18.9
"36522_at",164.2,159.9,154.6,520.1,324.2,395.7
"36523_at",359,581,393.9,330.5,286.5,23.1
"36524_at",205.1,246,166.1,300.8,360,121.9
"36525_at",612.3,455.5,537.6,328.5,113.5,43.6
"36526_at",360.7,375.5,404.9,379.4,841.8,638.1
"36527_at",281,349.5,405.5,499.4,375.3,777.8
"36528_at",39.8,34,295,229.2,129.4,73.4
"36529_at",1045.3,390.4,558,358.3,279.7,899.8
"36530_g_at",1369,1555.2,1699.1,3040.7,2407.2,1967.8
"36531_r_at",825.5,256.2,667.8,315.2,482.8,785.3
"36532_at",397.5,649.2,476,280.3,337.5,267
"36533_at",805,725.2,1787,4322.8,5886.5,492.1
"36534_at",473.5,374.9,201.8,415.3,352,61.9
"36535_at",1482.6,2042.9,1776.4,855,1192.2,824.6
"36536_at",929.9,1491.2,759.8,201.6,389.5,414
"36537_at",2780.9,2608.7,3280,1232.3,1149.2,898.3
"36538_at",570.6,653.9,756.9,1288.5,1529.8,2028.4
"36539_at",32.6,28.6,37.3,352.4,113.5,120.8
"36540_at",1521.1,1368.7,960.6,251.9,374.4,358.1
"36541_at",98.1,117.1,57.7,171.8,178.6,62.2
"36542_at",653.6,573.3,574,366.4,566.3,751.1
"36543_at",2505,2603,2218.5,201.2,300.9,433.3
"36544_at",667.9,950.5,904.6,663.7,656.2,771.1
"36545_s_at",496.1,637.7,732.4,867.7,903.6,781.3
"36546_r_at",16671.5,27012.3,3468.2,69569.3,24745.9,58957.4
"36547_r_at",902.3,1000.4,1036.2,4370.3,2948.1,1726.4
"36548_at",196.8,169,121.6,501.2,328,203.7
"36549_at",53.6,59.2,159.7,252.4,613.2,94.5
"36550_at",5338.3,4882.5,4616.5,6045,7238,1973.3
"36551_at",251.1,398.4,224,236.9,38.5,225.5
"36552_at",647.8,1013.5,584,342,1263.2,1079.7
"36553_at",2699.4,2185.7,2548.3,1440.7,1660.9,1401.5
"36554_at",1670.1,1412.5,1527,435.3,989.7,1081.7
"36555_at",1192.3,664.7,1358.2,2475.2,2269.4,2545.6
"36556_at",421.8,227.9,100.9,383.7,783,500.3
"36557_at",1202.5,1129.3,1468.4,1499.8,1607.4,1432.4
"36558_at",326,545.9,477.4,306.7,313.1,751
"36559_g_at",42.7,21.4,56.3,33.5,506.2,25
"36560_at",54.2,66.2,187.7,80,175,83.7
"36561_at",374.8,531.9,513.9,502,399.5,975
"36562_at",1256.7,1140.5,1979.2,1736.9,3363.6,2208.2
"36563_at",6.9,112.8,55.1,478.7,65.4,49
"36564_at",1694.3,1712.8,808.8,1207.8,1205,993.3
"36565_at",53.2,65.9,291.3,277.7,100.9,367.5
"36566_at",468,490.2,842.4,813.8,1448.2,998.9
"36567_at",440.2,420.9,450.1,1019.8,903.7,479.3
"36568_at",254.5,107.2,236.7,301,259.7,120.7
"36569_at",15012,12332.2,19840.8,50814.5,31856.6,39920.9
"36570_at",220.5,54.6,258.8,14.7,68.6,291.1
"36571_at",1876.3,1621.5,2705.6,1543.4,2020.5,1401.9
"36572_r_at",1193.6,1342,743.2,1342.5,1250.2,529.1
"36573_at",399.8,644.3,552.5,1264.1,1207.6,323.2
"36574_at",2454.9,2250.6,2253.8,3014.7,2119.3,3419.5
"36575_at",105.9,257.7,79.6,680.1,22.6,31.8
"36576_at",1693.2,1006.5,1391.1,1074,1319.2,1785.1
"36577_at",7392.3,7046.4,8127.1,3237.3,3759.3,2074.8
"36578_at",1427.3,1498.2,1031.9,706.2,775.1,269.5
"36579_at",1030.9,592.9,1317.2,666.3,733.3,186.8
"36580_at",611.1,906.9,905.1,764.6,1366.1,539.5
"36581_at",1403.1,1881.1,1686.6,994,1417,1881.8
"36582_g_at",758.1,591.9,707.6,407.1,743,777
"36583_at",2156.9,1750.2,2138.7,2154.1,2540.7,1957
"36584_at",114.9,178.1,32.9,297.5,61.3,259.8
"36585_at",3922.9,5159.2,6181.8,2139.9,3178.3,2798.4
"36586_at",1057.5,793.3,886.5,1800.1,1416.1,1784.5
"36587_at",11966.4,11704.7,12229,8870.8,8065.1,12618.4
"36588_at",858.6,1360.4,1150.8,931.7,1393.5,678.2
"36589_at",3800.8,3252.2,4609.8,8057.5,7062.4,4332
"36590_at",93.6,262.4,136.5,129.1,144.2,147.2
"36591_at",1691.1,1358.7,2752.2,2870.9,2360.1,5697.6
"36592_at",2186.5,1475.5,1323.5,1411.7,1438.6,2354.6
"36593_at",614.3,798.8,729.7,493.3,427.1,105.9
"36594_s_at",388.4,425.7,713.8,564.9,368.6,305.4
"36595_s_at",503.4,667.6,161.5,429.6,618.4,810.6
"36596_r_at",1303.5,2975.6,288.6,1298.7,2020.4,1532.4
"36597_at",380.5,316.9,435.5,435.2,73.1,381.6
"36598_s_at",1476.2,1233.4,1613.2,1557.5,470,1244
"36599_at",470.4,484.1,139.5,229,260.2,320.6
"365_at",24.1,170.1,160.5,82.5,203.4,262.6
"36600_at",5170.7,5410.4,3199.9,1581.3,2902.2,3564.6
"36601_at",3225.7,3344.8,4283.2,1855,2264.7,1845.2
"36602_at",665,221.7,543.7,169.8,226,855
"36603_at",1157.6,802.2,1184.4,667,606.9,1412.3
"36604_at",744.8,1008.3,740.9,866.9,534.1,53.6
"36605_at",189.4,277.8,158.3,327.7,227.3,208.5
"36606_at",90.8,124.2,178.7,158.9,177.4,138.8
"36607_at",761.1,643.1,727.2,687.7,724.5,962.1
"36608_at",6419.2,5630.7,3883.5,3573.6,3927.4,6987.1
"36609_at",165.6,164.9,95.2,181.2,278.2,73.5
"36610_at",353.9,257.7,241.9,378.5,552.4,343
"36611_at",2354.3,2089.4,2345.6,2505.5,3118.8,3422.6
"36612_at",221.9,262.4,208,62.1,71.2,110.1
"36613_at",455.2,329.7,842.5,963.8,963.3,1603.1
"36614_at",6182.1,5069.6,2869,1452.4,1682.6,1520.8
"36615_at",4688.1,4078.4,4400.5,3645.1,4573.4,3850.3
"36616_at",7825.1,7129.8,7627,5318.4,8031.3,4522.5
"36617_at",50777.9,46610,48842.1,110385.9,116392.3,68681.6
"36618_g_at",14545.7,10882.7,21644.3,38389.8,29796.9,18427.4
"36619_r_at",1701.3,1275.6,6115,12130.1,7449.5,4309.4
"36620_at",6861.4,6612.3,6631.3,4118.4,4533.8,4304.4
"36621_at",132.6,384.8,207.2,458.9,809.1,84.6
"36622_at",8.6,12.5,17.9,11.6,21,319.9
"36623_at",523.1,206.3,266,1389.8,498.8,1480.1
"36624_at",3111,2778.3,3543.7,3175.9,1747.8,4461
"36625_at",1590.3,1262,1070.1,1125.6,1866.4,3214.8
"36626_at",2115.9,1728.8,1485.7,1005,848.6,238.8
"36627_at",192,305.6,471.7,711.5,928.8,374.8
"36628_at",1399.2,1679.6,1973.8,797.7,1131.6,1126.6
"36629_at",14317.6,12609.9,11928.2,4639.4,5278.7,2200.5
"36630_at",3563.4,3544.8,2527.1,2624.1,1968.1,1299.6
"36631_at",958.6,1192.8,1007.5,800,1277.2,756.4
"36632_at",396,275.2,364.9,32.6,107.5,187.7
"36633_at",893.5,1145.9,924.3,1171.9,1053.8,881.2
"36634_at",2972.7,4305.5,2611.2,1521.2,2057.2,1458.6
"36635_at",1646.4,1574.5,1717.6,1042.6,867.9,928.6
"36636_at",1419.8,1499.7,1265.7,1313.8,1328.1,784.3
"36637_at",1525.6,1481.7,2288.2,1018.3,1207.8,2154.3
"36638_at",8818.2,10215.5,48699.9,2783,2963.4,4546.5
"36639_at",610.4,596.9,333,789.6,794.4,361
"36640_at",753.4,695.6,866.4,987.9,366.9,1467.1
