"","GSM15965","GSM15966","GSM15967","GSM15968","GSM15969","GSM15970"
"33688_at",50.1,122.2,54.5,113.6,281,108.1
"33689_s_at",1483.2,1500.9,1753.9,1267,1661.8,2183.1
"33690_at",1684,1439.8,868.1,1867.7,1958.9,1012.6
"33691_at",11.2,34,37.9,85.8,40,79.3
"33692_at",85.7,100.5,114.7,126.5,150.5,220.4
"33693_at",163.1,44.5,30.4,188.4,50.8,72.7
"33694_at",116.3,435.3,257.2,461.3,540.5,1132.1
"33695_at",258.2,314.3,341.4,660.7,450.3,519.3
"33696_at",418.2,109.2,129.1,655.9,311.7,536.5
"33697_at",265.1,471.3,490,929.9,169,776.7
"33698_at",407.8,562.8,817,949.2,561.2,523.7
"33699_at",557.1,640.4,538.9,458.3,295.6,1126
"336_at",3441.6,4417.9,6076.7,7512.5,5007.9,5772.7
"33700_at",379.6,411,287.8,511.8,170.6,210.9
"33701_at",612.7,563.2,45.5,350.4,610.5,389.8
"33702_f_at",10890,12526.8,1476.2,3123.6,3682.3,2014.8
"33703_f_at",11701.5,7258.6,1612.4,3459.6,6821.5,1883.8
"33704_at",189.8,43.7,36.7,306.7,210.5,518.3
"33705_at",936.8,913,384.2,45.1,137.1,215.8
"33706_at",1088.3,1025.9,1531.7,821,749.9,1467.8
"33707_at",1812.9,1657.1,1333.6,1624,1713.5,2448.9
"33708_at",703.6,624.2,796,385.6,1144.4,1189.9
"33709_at",100.9,95.3,301.7,206.1,162,331.8
"33710_at",915.1,1357.9,1228.7,508.6,1138.3,1206.9
"33711_at",51.6,557.2,109.1,894.9,117.8,790.3
"33712_at",1355,1226.6,1376.3,1336.2,1150.6,1432.9
"33713_at",1086.2,1648.7,1668.2,834.1,1578.6,2779.5
"33714_at",31.5,35.3,15.4,88.2,63.1,128.7
"33715_r_at",28.2,113.8,4.4,106,136.5,177.3
"33716_at",787.6,1321.3,1265.6,1048.5,678.8,1106.2
"33717_at",33.6,71.8,51.2,77.5,117.1,20.9
"33718_at",351.6,329.7,394.6,676.2,831.9,147.7
"33719_at",1728.1,1299.6,1298,2190.6,3227.9,1123.5
"33720_at",250.8,189.7,105,36.7,235.2,447.8
"33721_at",134.6,77.1,123.1,347.4,39.8,464.2
"33722_at",239.8,277.2,220.3,28.3,149.3,405.8
"33723_at",323.4,212.9,292,366.8,220,226.9
"33724_at",275.2,211.7,179.8,280,497.4,513
"33725_at",10.9,15,14.6,209.2,25.7,159
"33726_at",253.9,211.1,199.3,475,211.7,350.4
"33727_r_at",1114.9,1044.8,1519.7,4289.6,1702.4,724.9
"33728_at",26.2,87.4,44.7,246.7,140.6,164
"33729_at",277,343.6,267.5,100.4,142.8,186.9
"33730_at",1631,1378.7,1094.5,192.6,265.5,888.7
"33731_at",1507.5,1718,261.7,2340.6,2132.9,1904.6
"33732_at",319.2,377.4,333,404.2,720.2,797.3
"33733_at",341.9,185.7,178.2,395.3,153.6,336.3
"33734_at",180.8,194.5,103.5,34.9,45.4,187.8
"33735_at",33,46.2,25,37.5,50.8,49.2
"33736_at",966.4,918.1,682.2,1545.1,843.8,1338.7
"33737_f_at",677.5,903.1,909.2,1001.2,805.5,1156.3
"33738_r_at",622.9,1078.8,651.2,848.8,1338.4,1348.7
"33739_at",54,39.3,123.7,88.9,66.3,40.9
"33740_at",1627.8,1418.1,1640,1019.7,995.5,1760.5
"33741_at",1078.3,944.8,1044.9,150,965.6,1087.1
"33742_f_at",73,101.4,61.4,278.9,478.8,105.4
"33743_at",38.7,104.2,65.3,55.6,50,186.7
"33744_at",389.6,603.6,553.6,786.6,721.2,653.1
"33745_at",76.7,113.4,250.9,246.7,232.8,173.7
"33746_at",626.2,534.4,565.4,797.8,360.6,235.6
"33747_s_at",41.6,62.3,64.7,87.8,121.1,111.5
"33748_at",604.1,706.5,470.1,2628.4,1164.9,1808.8
"33749_at",219.8,191.3,471.9,49.7,230.5,619.7
"33750_at",427,593.9,285.1,506.4,393,424
"33751_at",633.1,711.3,799.3,506.5,831.6,1044.7
"33752_at",444.8,1207.8,706.7,572,720.2,911.2
"33753_at",506.8,645.5,743.5,788.8,1530.6,392.1
"33754_at",372.5,459.3,337,392.8,471.3,507.4
"33755_at",385,305.4,240.5,83.8,703.8,380
"33756_at",131,107.8,254.4,291.1,544.2,183.5
