"","k_1","k_2","k_3","aa.1","aa.2","aa.3","bb_2","bb_3","bb_1","ab_1","ab_2","ab_3","bba_1","bba_2","bba_3","aab_1","aab_2","aab_3","f_1","f_2","f_3","s_1_NR_A_FPKM","s_2_NR_B_FPKM","s_3_CR_A_FPKM","s_4_CR_B_FPKM","GSM3714420_Galaxy259","GSM3714420_Galaxy264","GSM3714420_Galaxy269","GSM3714420_Galaxy274","GSM3714420_Galaxy279","GSM3714420_Galaxy284","GSM3714420_Galaxy294","GSM3714420_Galaxy374","GSM3714420_Galaxy379","GSM3714420_Galaxy384","GSM3714420_Galaxy389","GSM3714420_Galaxy394","GSM3714420_Galaxy400","GSM3714421_Galaxy415","GSM3714421_Galaxy420","GSM3714421_Galaxy430","GSM3714421_Galaxy531","GSM3714421_Galaxy536","GSM3714421_Galaxy541","GSM3714422_Galaxy451","GSM3714422_Galaxy456","GSM3714422_Galaxy461","GSM3714423_Galaxy466","GSM3714423_Galaxy471","GSM3714423_Galaxy476","GSM3714423_Galaxy481","GSM3714424_Galaxy486","GSM3714424_Galaxy491","GSM3714424_Galaxy496","GSM3714424_Galaxy501","GSM3714424_Galaxy506","GSM3714424_Galaxy511","GSM3714425_Galaxy516","GSM3714425_Galaxy521","GSM3714425_Galaxy526"
"GSM3714421_Galaxy531",63343.47855321,59940.3364789227,65090.0167665116,53132.7375476881,48491.4672781312,62030.4759475016,58864.6679941081,57262.5746706017,49844.3280435863,56329.3336066335,53748.7331835795,55089.6822749591,53939.8472660694,54593.7979090742,52474.6564855328,42625.7740531099,44457.7848697514,46162.8677000448,49233.275962,49794.5374787581,52640.4549013736,52204.0850102482,62435.1768866276,56552.0673034447,55202.6543762021,4712.13302488332,4646.33508599781,4721.15542895566,4503.48916784299,3757.30684165144,3971.04337903501,4044.09299470668,4641.64622847055,4583.76183428186,4492.38935572316,4597.73564125902,4787.00022995796,3802.70062616137,641.70584588745,958.555249096578,2425.17790865605,0,804.15480703452,674.231149308258,4319.29686418555,4436.94291137907,4028.03656084371,24021.9784221996,26870.7391691592,26960.3594580347,27019.5048474228,21733.457653334,21781.0953488418,21687.1027835227,25128.3630864054,25349.6338591706,24601.3467825529,41156.8255620814,41643.9704257716,41211.632939565
"GSM3714421_Galaxy536",63161.2258543946,59746.5228552787,64908.526679372,52908.2140647021,48244.3423549995,61845.5290113572,58669.5005567474,57062.0988714183,49603.401026056,56122.1118075304,53530.478557053,54877.3172873235,53724.6710800084,54381.3927839261,52252.8415471522,42342.2216437325,44186.6881072912,45902.8890522624,48995.1762118348,49559.4335724874,52418.8174119966,51968.1779498005,62236.5450947529,56340.9635505048,54987.9527410686,5068.43014150666,4993.0495796298,5088.25244235253,4849.01813376202,4006.26835691521,4294.02742562289,4365.68682501241,5024.03629756422,4987.28366413812,4861.46005418119,4978.58613943009,5141.8486758509,4128.31262298652,916.632486535428,762.464177746281,2304.25309150485,804.15480703452,0,772.045140157871,4670.65972652803,4797.63493681437,4395.09179200943,23748.7069926634,26600.9458339648,26697.2499557311,26758.7621020522,21466.7724111378,21510.259058537,21421.9409421534,24863.5891261091,25089.9134873202,24334.7621638322,40956.683041118,41440.0924051251,41007.2394550296
"GSM3714421_Galaxy541",63241.9122124891,59833.4797163946,64990.9859694393,53012.8611793691,48351.0833491518,61926.8147463835,58754.5550043118,57146.2487157668,49707.0751203031,56211.3350357625,53624.8769645273,54966.9826805999,53815.9887740113,54471.2099174177,52345.9851395211,42466.4246853066,44305.7138277082,46016.6807545213,49098.4552610648,49661.7797096401,52513.7454412001,52066.7644168824,62319.8748924076,56425.1460641001,55070.9667849835,4829.10519557355,4733.35028282159,4824.25316898307,4568.21193127532,3779.85078388395,3978.82732091541,4060.42068594047,4777.70774692845,4722.88326291805,4621.02357868254,4735.76094930985,4937.3212402457,3832.00834396985,801.927810857869,819.66704186019,2346.3923326786,674.231149308258,772.045140157871,0,4426.3563481783,4569.75017345194,4145.40752417244,24046.7252982764,26883.6961713904,26974.9615432007,27041.6141628606,21766.5488097811,21809.0612530783,21719.8200663595,25142.3603548579,25367.3260131161,24616.359097765,41206.9509602949,41694.4827606235,41265.2970047164
"GSM3714422_Galaxy451",64902.2822447251,61589.3752569629,66574.6907389565,54967.6366841454,50486.7845282177,63610.254373317,60551.3749716912,58990.3233982149,51787.7320100058,58096.5611415357,55598.5106085754,56894.8507068691,55771.1822063954,56402.2354552187,54352.6239309653,44895.2906099663,46643.0000553418,48279.6550381846,51204.8314347741,51744.39555943,54482.3827597857,54102.4461547516,64038.4306806373,58247.1961668152,56923.499763461,4585.74424935119,4732.85171145844,4724.20131544914,4829.96747824546,5428.47051533644,5044.31043788895,4957.38989555501,3905.4564927381,3955.65634754563,3872.78367740026,3925.28460094771,4494.0765227671,4819.9805587036,4436.04293918914,4734.64446756677,5597.07012003419,4319.29686418555,4670.65972652803,4426.3563481783,0,704.377992396764,809.880240489991,26577.7164423668,29353.9474914426,29444.752219849,29471.5598224463,24229.8234082309,24358.7190611645,24251.6955725006,27572.0056025611,27805.219751194,27048.742510076,43161.4734031431,43671.8124464993,43235.3240054059
"GSM3714422_Galaxy456",65020.5039599993,61713.5111435988,66693.5670539704,55109.7318421683,50638.9657593782,63727.9828934272,60677.2596893487,59117.5453963345,51936.7104120658,58227.0793370299,55734.5329290767,57026.8867987055,55906.6915330628,56536.0160249682,54491.1980932459,45065.229163951,46806.2779918192,48436.2166883209,51350.9180499067,51889.0984959182,54619.5741416045,54233.3183341563,64149.8948051951,58373.5576952978,57052.7385174799,4701.39133994829,4875.29008544753,4818.87928654963,4976.74060340978,5547.03563793128,5120.37261718012,5004.54758909469,3941.85035856735,3997.8394135449,3914.7108331763,3978.05859544109,4524.66581741461,4859.08742347062,4529.13444296556,4848.44510716949,5736.37455650613,4436.94291137907,4797.63493681437,4569.75017345194,704.377992396764,0,911.84998733315,26529.2676216334,29296.7517443413,29390.3141826966,29416.4857425082,24183.5759833013,24326.5405958722,24221.1976204974,27524.3738133497,27758.278556141,27000.0210310171,43047.2803123186,43560.0913361759,43119.7123134739
"GSM3714422_Galaxy461",64762.3237436485,61440.7031147807,66443.4876990742,54799.9023694085,50310.2674241588,63467.2476277988,60398.1602833055,58834.293363752,51616.8862525205,57937.4064847879,55431.1960797159,56732.3045388312,55605.5520074321,56238.6653929092,54182.9304454611,44691.5052258251,46446.7110631674,48088.8207436845,51026.3576803526,51567.8435740454,54315.9860540339,53928.1865889837,63890.4853061917,58091.2847755225,56765.2016469945,4385.26477857825,4493.0271764555,4470.76864857953,4559.41745767585,5070.56698372468,4723.109347308,4645.50403219364,3821.45505525609,3870.53024871953,3791.14646097042,3851.88783795902,4393.18240692928,4495.73167262573,4158.41749979161,4408.18314316572,5322.38682649188,4028.03656084371,4395.09179200943,4145.40752417244,809.880240489991,911.84998733315,0,26461.1239836153,29238.3249944381,29330.2533671491,29363.9878514038,24124.7787593476,24244.2954852262,24132.8081728247,27461.517074822,27694.4372834479,26936.8852695114,43088.5649655614,43596.6240966447,43159.501396929
"GSM3714423_Galaxy466",64650.4731543451,61322.2386382875,66371.7751467769,54717.3430740361,50111.1421703808,63335.2209105034,60313.721870596,58719.4261780229,51414.6958705291,57814.1601380906,55299.7001618569,56585.3251317298,55477.875657094,56111.4702952842,54042.3722469858,44441.2189145706,46214.3873853662,47871.6836726991,50885.9773171735,51430.3139157226,54194.2669501264,53659.088601495,63674.2511075629,57934.9277187344,56621.3810886741,26912.8084334551,26807.0758708191,26948.7043655428,26836.7259408407,26094.7166988435,26260.1318621448,26272.8157669546,26615.578626294,26544.7337369946,26490.7877210542,26675.6011490783,26672.7302607895,26128.9366617776,23836.9048639294,23896.7777328913,23307.6271860271,24021.9784221996,23748.7069926634,24046.7252982764,26577.7164423668,26529.2676216334,26461.1239836153,0,3523.82817117971,3629.17928149131,3720.1398258593,3067.79938712304,3105.11998535561,3261.42342628476,3091.21291396423,3195.12603229783,2812.38041968098,19644.7614861468,20042.9531011696,19670.6326973951
"GSM3714423_Galaxy471",65790.0003764413,62520.3630941781,67488.4375196658,56053.2251349452,51571.9134842322,64503.2514847624,61532.6136451915,59972.9460310904,52840.7770816061,59082.1311705795,56621.8040936639,57880.1742859849,56800.9567822568,57420.6356566277,55399.4587052444,46077.6350079639,47789.9989620874,49394.0486894213,52321.6237848299,52851.0464599539,55546.2161820037,55024.0546941448,64828.8538472507,59198.9687083885,57912.6830230941,29605.2710828373,29499.6637510786,29635.9316397717,29531.0563112647,28857.3071882565,28995.8008742657,29000.3041670817,29314.5560445935,29247.9170912977,29193.9360689318,29377.7844547684,29377.0794989236,28862.9245371351,26684.3219057523,26731.3069277406,26075.8013815607,26870.7391691592,26600.9458339648,26883.6961713904,29353.9474914426,29296.7517443413,29238.3249944381,3523.82817117971,0,803.668217035304,1126.49303627056,6053.49394449087,6131.48721579657,6240.35578320063,2785.10949526191,2686.26814148032,3171.43949495003,16730.6021080477,17109.9576683304,16746.9122400249
"GSM3714423_Galaxy476",65847.2521463189,62581.600497039,67541.5941210445,56123.783666159,51639.6815939499,64556.1589621635,61593.7222470677,60032.7754750789,52905.5897928902,59145.5770428157,56688.7800127469,57944.2588675377,56865.4792292529,57483.8656824751,55465.5104316402,46156.3475161439,47864.213784105,49466.3279976445,52391.9056178179,52920.587136337,55611.7709576534,55089.7117123519,64884.4451777753,59259.4247799767,57974.0654013438,29683.0975512952,29574.0862262923,29713.5399943447,29607.9314510117,28941.3421534266,29072.3150843864,29082.5265672517,29392.8408440908,29322.7540912545,29271.6447415145,29458.3810951955,29447.5480267467,28942.7798452218,26771.9720928457,26831.8046901787,26182.4109096631,26960.3594580347,26697.2499557311,26974.9615432007,29444.752219849,29390.3141826966,29330.2533671491,3629.17928149131,803.668217035304,0,880.875075168546,6121.23887191893,6160.60035160329,6262.50020280991,2797.87078816199,2615.95260168811,3178.93148637181,16646.7410097163,17033.0628427226,16671.5522217098
"GSM3714423_Galaxy481",66000.8708320869,62743.1435552153,67688.9192595306,56304.0709877258,51837.8235952695,64712.4142955942,61755.9486862425,60199.3882000601,53100.0493720617,59314.2016499087,56863.3550609461,58115.3397579564,57041.6084313261,57657.9054048413,55645.0167704351,46377.6042711149,48079.017158675,49674.987321124,52579.6101486036,53106.4345371671,55787.9982566911,55278.5519651582,65046.5484550832,59431.9172850432,58152.9847078357,29727.3958982013,29624.2716211233,29764.3637163622,29665.1243119036,29012.0225497097,29142.0740387725,29148.1947556478,29434.138782358,29365.6677134568,29316.559693392,29500.4432012871,29489.9863011925,29010.3209868754,26831.2247913886,26901.6146031791,26242.7304924244,27019.5048474228,26758.7621020522,27041.6141628606,29471.5598224463,29416.4857425082,29363.9878514038,3720.1398258593,1126.49303627056,880.875075168546,0,6167.83689613372,6248.13919651284,6300.52342597022,2929.40124200172,2694.04920142465,3324.72140085429,16415.2456948813,16805.3524131635,16418.0108186849
"GSM3714424_Galaxy486",64377.8467391587,61033.9584313847,66108.2623846123,54391.1798702712,49766.593722302,63055.7027854515,60014.4915177919,58414.5469800417,51078.217421201,57503.64888263,54976.2639374367,56270.8840023417,55157.4510824917,55795.0895731023,53715.3603966814,44060.6440775775,45843.6773297599,47509.3994707204,50542.0930482605,51089.961107033,53871.2220058551,53362.8060588494,63427.7385909219,57650.1258672301,56330.6339814468,24612.4276031473,24506.4167707066,24653.9519823426,24555.7650301828,23880.7421563299,24038.1703991337,24047.3354661186,24268.3524766332,24205.9988932902,24142.2547351887,24334.7925148502,24322.0852024105,23885.6081956702,21557.3807076425,21629.3804666811,21083.3825186635,21733.457653334,21466.7724111378,21766.5488097811,24229.8234082309,24183.5759833013,24124.7787593476,3067.79938712304,6053.49394449087,6121.23887191893,6167.83689613372,0,1244.31504818354,1549.81863633779,4291.64773089902,4470.4723279432,3848.37440640098,21652.4350525884,22091.3641315073,21693.4802694288
"GSM3714424_Galaxy491",64022.4291769536,60657.436776361,65770.2852814826,53969.7009783868,49310.8708213779,62707.581561841,59634.9279594227,58027.2305609995,50635.4249382829,57105.8948811974,54559.3846495452,55865.4383840055,54745.0335409312,55388.4189910335,53292.7402459932,43541.2128734262,45343.5869615992,47026.4979560204,50098.6115373971,50652.0202832777,53457.2843270597,52932.893703864,63065.7117678911,57250.5112600888,55918.9433196292,24701.3214523354,24580.0243903118,24739.13932651,24622.4752130612,23921.688926671,24113.5145138072,24137.8833048786,24411.1582744446,24346.9450251841,24278.9214701484,24471.941370943,24447.8398686529,23971.0438424938,21609.0735060558,21668.2578456172,21109.3920629635,21781.0953488418,21510.259058537,21809.0612530783,24358.7190611645,24326.5405958722,24244.2954852262,3105.11998535561,6131.48721579657,6160.60035160329,6248.13919651284,1244.31504818354,0,1120.68303898823,4356.4030809473,4549.945273371,3892.48457887957,21954.2055197682,22381.1682678803,21987.934214424
"GSM3714424_Galaxy496",64075.6466522565,60711.9500423038,65820.1013207547,54020.1040012643,49379.3006871219,62755.2860008528,59689.7970132867,58085.8630137939,50701.4195332387,57165.8808741561,54622.0852105465,55928.6181566091,54808.145266225,55450.8442950347,53357.9465641669,43613.2546098671,45411.4953742759,47091.140328996,50166.0311351513,50718.343439718,53521.4356886683,52992.0823664178,63116.8238414207,57309.7345588359,55983.1914692442,24570.690621773,24448.071236184,24614.0591737295,24497.0054111642,23806.7952575699,24001.9617515266,24026.4767973412,24287.6145665228,24228.2473979485,24161.2740039848,24352.1632625421,24332.6196730798,23864.1795685473,21515.7768467057,21580.3676854977,21025.9466042627,21687.1027835227,21421.9409421534,21719.8200663595,24251.6955725006,24221.1976204974,24132.8081728247,3261.42342628476,6240.35578320063,6262.50020280991,6300.52342597022,1549.81863633779,1120.68303898823,0,4481.59022472828,4672.85183492575,4004.72894800328,21954.4959793841,22378.980157837,21974.7128502932
"GSM3714424_Galaxy501",65355.2768490039,62065.0642281611,67064.0118858309,55559.6281937856,51030.9327376866,64061.2539788744,61069.5728492278,59496.5230712256,52311.8818919496,58601.0073021566,56121.6131323049,57389.3130122099,56301.1303859089,56925.7590819593,54888.2018073208,45488.1050798511,47218.0137865639,48838.6123467074,51786.6419242878,52322.6189744434,55042.5161604181,54541.3127471939,64422.2111111441,58738.4712586436,57440.6776787036,27841.8414012191,27729.7583038703,27873.613885443,27772.1410978504,27154.5543001451,27299.2438963435,27306.6776058977,27521.7768120992,27466.2587644477,27396.1494941174,27592.3571881678,27582.8459815081,27148.7505291717,24955.3102246756,24998.2894234636,24373.3065334367,25128.3630864054,24863.5891261091,25142.3603548579,27572.0056025611,27524.3738133497,27461.517074822,3091.21291396423,2785.10949526191,2797.87078816199,2929.40124200172,4291.64773089902,4356.4030809473,4481.59022472828,0,986.749840538577,1084.52504247439,18387.2281123592,18806.5143137134,18405.7945997316
"GSM3714424_Galaxy506",65527.036159909,62244.8516646936,67234.1503929492,55755.693859648,51248.8578543947,64241.5131886282,61249.3203875322,59682.3699192352,52525.1731119323,58789.1270750582,56316.6448985728,57581.0804723933,56497.0239984111,57120.3316226944,55088.8481366899,45727.8631281176,47450.6572706953,49063.6380915636,52002.3446439717,52535.513258964,55245.4942114943,54744.6078907521,64594.8209955619,58928.5832682604,57635.0695525268,28037.6061379467,27924.4609761225,28070.2415397654,27968.7575293807,27362.4907037255,27499.5611561952,27512.0548090511,27731.8824052958,27669.88433174,27611.6744306279,27800.2866381371,27776.3731923257,27356.8231779311,25174.4082472054,25230.1324947617,24580.47483374,25349.6338591706,25089.9134873202,25367.3260131161,27805.219751194,27758.278556141,27694.4372834479,3195.12603229783,2686.26814148032,2615.95260168811,2694.04920142465,4470.4723279432,4549.945273371,4672.85183492575,986.749840538577,0,1570.22445309267,18039.6008860105,18452.7966721584,18051.435046416
"GSM3714424_Galaxy511",65166.5358474214,61863.7765951479,66884.997232304,55323.0638254222,50782.6313703057,63870.8182901087,60860.0449687824,59283.3242482695,52070.6149438477,58383.514707206,55892.5868487783,57168.0150323628,56075.1338601964,56703.3141408545,54656.0240890229,45195.9820212131,46938.4184734803,48567.6982321841,51539.4658537421,52077.4890381817,54810.2472996363,54300.5749117982,64219.1363060633,58514.799271202,57211.8345353429,27334.4342547867,27222.742622504,27364.3366178818,27265.2717085624,26625.1191933995,26768.6879334214,26775.9085574652,27018.94102109,26962.313003067,26892.233989072,27090.3138969151,27077.2862687477,26616.6215697027,24423.8591659865,24469.292434226,23871.4985928039,24601.3467825529,24334.7621638322,24616.359097765,27048.742510076,27000.0210310171,26936.8852695114,2812.38041968098,3171.43949495003,3178.93148637181,3324.72140085429,3848.37440640098,3892.48457887957,4004.72894800328,1084.52504247439,1570.22445309267,0,18872.3266890675,19289.552491285,18882.6710367159
"GSM3714425_Galaxy516",74640.3117447671,71768.4699085906,76117.4736061134,66187.138329181,62454.4639415748,73521.7454100796,70906.006138668,69567.0384933119,63508.220382108,68792.773495887,66685.031788101,67768.2722500852,66844.6365749805,67374.2836077093,65657.14481154,57975.5689900301,59352.713840272,60652.93159455,63057.6640485652,63495.9413867011,65760.9102065222,65372.1634538245,73817.2809096565,68876.9324226361,67786.4698207726,43348.0095931822,43300.9068761345,43401.5374189902,43378.0149786722,42921.2389108456,42880.8345105905,42839.372886221,42985.4501001486,42895.0920314338,42896.135808971,43057.3143331338,43034.9103210352,42745.2569011823,40944.2895680956,41101.3160589845,40371.031418748,41156.8255620814,40956.683041118,41206.9509602949,43161.4734031431,43047.2803123186,43088.5649655614,19644.7614861468,16730.6021080477,16646.7410097163,16415.2456948813,21652.4350525884,21954.2055197682,21954.4959793841,18387.2281123592,18039.6008860105,18872.3266890675,0,933.659403515468,1334.47373091438
"GSM3714425_Galaxy521",74785.1518680319,71918.7802647956,76256.0689253489,66348.2036513068,62625.5421735289,73672.6669478566,71058.8490457909,69722.3476246387,63676.4557974572,68949.5874737373,66845.8005728003,67927.0001353068,67006.355911187,67534.528735604,65821.4367420715,58159.1161242135,59533.2150658003,60830.8896605614,63226.9895355571,63664.1447525471,65923.6044460651,65538.2994487296,73964.6980739626,69036.8905747248,67947.8538738983,43842.7942180896,43794.8761891406,43896.1908087078,43869.3926961816,43402.1175059555,43372.6191666079,43331.6148474706,43488.2188750245,43397.2345287858,43399.8986804721,43558.2894114785,43535.5149480742,43238.4642663891,41432.9799137386,41583.7541513896,40847.3318951405,41643.9704257716,41440.0924051251,41694.4827606235,43671.8124464993,43560.0913361759,43596.6240966447,20042.9531011696,17109.9576683304,17033.0628427226,16805.3524131635,22091.3641315073,22381.1682678803,22378.980157837,18806.5143137134,18452.7966721584,19289.552491285,933.659403515468,0,1317.88913565548
"GSM3714425_Galaxy526",74571.1103945057,71695.3093877201,76045.7465175003,66092.6087869203,62358.8525510944,73446.8764930974,70832.3637218293,69489.5811145426,63413.685734364,68718.0102316264,66607.4252939215,67692.6379324554,66765.4600956052,67295.7732398626,65576.9173067631,57869.4119344356,59247.4108552469,60549.838833408,62973.0877170702,63410.8091419453,65679.1741593488,65279.5058590652,73735.5303079204,68790.2827439842,67695.9960429634,43412.8523829071,43370.9841055239,43466.1901580737,43443.5785505641,42968.3832668302,42941.3057659268,42900.0689212252,43056.4835071697,42971.2439791367,42970.492621859,43129.0262279942,43094.6877076606,42804.6203017794,41000.9707447933,41153.7886861795,40424.8069205473,41211.632939565,41007.2394550296,41265.2970047164,43235.3240054059,43119.7123134739,43159.501396929,19670.6326973951,16746.9122400249,16671.5522217098,16418.0108186849,21693.4802694288,21987.934214424,21974.7128502932,18405.7945997316,18051.435046416,18882.6710367159,1334.47373091438,1317.88913565548,0
