"","k_1","k_2","k_3","aa.1","aa.2","aa.3","bb_2","bb_3","bb_1","ab_1","ab_2","ab_3","bba_1","bba_2","bba_3","aab_1","aab_2","aab_3","f_1","f_2","f_3","s_1_NR_A_FPKM","s_2_NR_B_FPKM","s_3_CR_A_FPKM","s_4_CR_B_FPKM","GSM3714420_Galaxy259","GSM3714420_Galaxy264","GSM3714420_Galaxy269","GSM3714420_Galaxy274","GSM3714420_Galaxy279","GSM3714420_Galaxy284","GSM3714420_Galaxy294","GSM3714420_Galaxy374","GSM3714420_Galaxy379","GSM3714420_Galaxy384","GSM3714420_Galaxy389","GSM3714420_Galaxy394","GSM3714420_Galaxy400","GSM3714421_Galaxy415","GSM3714421_Galaxy420","GSM3714421_Galaxy430","GSM3714421_Galaxy531","GSM3714421_Galaxy536","GSM3714421_Galaxy541","GSM3714422_Galaxy451","GSM3714422_Galaxy456","GSM3714422_Galaxy461","GSM3714423_Galaxy466","GSM3714423_Galaxy471","GSM3714423_Galaxy476","GSM3714423_Galaxy481","GSM3714424_Galaxy486","GSM3714424_Galaxy491","GSM3714424_Galaxy496","GSM3714424_Galaxy501","GSM3714424_Galaxy506","GSM3714424_Galaxy511","GSM3714425_Galaxy516","GSM3714425_Galaxy521","GSM3714425_Galaxy526"
"GSM3714420_Galaxy259",65036.3665235419,61721.1935729766,66718.0438359212,55103.0394209466,50652.1276571985,63748.636568487,60675.8170043732,59128.3507472868,51948.2263128812,58210.6457113119,55711.2694822438,57011.3629170966,55902.4937986541,56534.1769291744,54488.3096144634,45052.1551392136,46797.3033959607,48427.5216519856,51350.0692834837,51885.9574685657,54628.1381869639,54177.8911219593,64087.9396972671,58412.1614852125,57119.9350103395,0,784.916393262193,760.596867715176,997.226247480493,3075.58616036181,3046.65631499391,3060.92714984268,2598.67385328455,2607.04099210196,2596.75772601313,2464.04852400735,2742.12792367867,2883.30179697377,4907.98072563462,4971.57201924731,5353.64533400105,4712.13302488332,5068.43014150666,4829.10519557355,4585.74424935119,4701.39133994829,4385.26477857825,26912.8084334551,29605.2710828373,29683.0975512952,29727.3958982013,24612.4276031473,24701.3214523354,24570.690621773,27841.8414012191,28037.6061379467,27334.4342547867,43348.0095931822,43842.7942180896,43412.8523829071
"GSM3714420_Galaxy264",64905.7072757225,61583.0110929838,66594.6245395143,54945.2359170285,50480.7830390926,63615.1317366229,60534.8075788698,58983.5513600902,51778.7518743439,58064.8859209617,55560.6031830339,56864.1817731239,55751.388878624,56384.8881041729,54334.3655099058,44858.3578394854,46609.0536243395,48245.3549217757,51191.3801394323,51729.6670158655,54479.8888402421,54022.8066088803,63957.813869485,58270.4581970714,56973.4528478735,784.916393262193,0,814.892851435424,850.520942572956,3033.91407269987,3094.57518390032,3143.66500540346,2825.00726866149,2829.16726580932,2807.12962378017,2713.52996577293,2985.53089943148,2945.19821771039,4833.94965273588,4863.08511213667,5218.44684547068,4646.33508599781,4993.0495796298,4733.35028282159,4732.85171145844,4875.29008544753,4493.0271764555,26807.0758708191,29499.6637510786,29574.0862262923,29624.2716211233,24506.4167707066,24580.0243903118,24448.071236184,27729.7583038703,27924.4609761225,27222.742622504,43300.9068761345,43794.8761891406,43370.9841055239
"GSM3714420_Galaxy269",64971.5667165591,61652.1918383242,66655.9949310415,55022.621894534,50567.4079075316,63680.5058397521,60606.9681888113,59057.2973489306,51865.6531438691,58140.1418968111,55637.9096480961,56939.8800295765,55827.8800745234,56460.3132177468,54411.983376959,44955.5182471819,46703.8444019633,48336.7606422264,51268.2755477868,51804.950376161,54551.0949896535,54099.0884418029,64022.6207871185,58335.8554587295,57041.5596036494,760.596867715176,814.892851435424,0,825.407947332726,2895.43725755986,2921.45258685239,2904.01917650178,2725.0900094547,2717.69263797348,2732.42380875356,2586.07096750648,2789.35484040462,2720.44445913778,4905.35180406271,4941.88117253124,5350.73868852505,4721.15542895566,5088.25244235253,4824.25316898307,4724.20131544914,4818.87928654963,4470.76864857953,26948.7043655428,29635.9316397717,29713.5399943447,29764.3637163622,24653.9519823426,24739.13932651,24614.0591737295,27873.613885443,28070.2415397654,27364.3366178818,43401.5374189902,43896.1908087078,43466.1901580737
"GSM3714420_Galaxy274",64701.4735282218,61367.5635135498,66393.591204167,54705.4931636793,50216.7412272409,63408.9558310128,60316.9444148997,58759.2790688993,51523.6442602185,57835.9977857913,55318.9357614465,56628.0707031106,55511.577582462,56147.8995289554,54086.6207295392,44559.6310183508,46323.6280530445,47970.8065646276,50925.086665425,51465.9237037343,54229.4717844401,53774.517956842,63749.178629305,58034.3993799921,56731.6249101407,997.226247480493,850.520942572956,825.407947332726,0,2507.94008720085,2634.17824954826,2718.16074560939,2963.21333657106,2924.86821064923,2928.82463142563,2828.88463769133,3015.47118196279,2540.25198301963,4709.50567396156,4690.6189524054,5056.72954019919,4503.48916784299,4849.01813376202,4568.21193127532,4829.96747824546,4976.74060340978,4559.41745767585,26836.7259408407,29531.0563112647,29607.9314510117,29665.1243119036,24555.7650301828,24622.4752130612,24497.0054111642,27772.1410978504,27968.7575293807,27265.2717085624,43378.0149786722,43869.3926961816,43443.5785505641
"GSM3714420_Galaxy279",63708.8853831569,60320.4907739079,65432.18702835,53530.4134246484,48938.4959675974,62388.8260052756,59248.0421760231,57662.5049315978,50277.5556270868,56723.745944896,54157.355516058,55494.0512826388,54352.0724464653,55001.1856828252,52897.4454382626,43115.0037069906,44933.9192499966,46628.2795717743,49660.9823685695,50215.7403408871,53044.4453827179,52583.2239303387,62747.5279546476,56932.8916421756,55606.5953594727,3075.58616036181,3033.91407269987,2895.43725755986,2507.94008720085,0,1465.23750023474,1653.45966905521,3999.3336828117,3918.87837534961,3885.86410390335,3902.26571690549,3908.71237879119,1534.46975479924,3906.18445465426,3772.66009937111,4487.77808175137,3757.30684165144,4006.26835691521,3779.85078388395,5428.47051533644,5547.03563793128,5070.56698372468,26094.7166988435,28857.3071882565,28941.3421534266,29012.0225497097,23880.7421563299,23921.688926671,23806.7952575699,27154.5543001451,27362.4907037255,26625.1191933995,42921.2389108456,43402.1175059555,42968.3832668302
"GSM3714420_Galaxy284",64079.6057875761,60712.3985729199,65786.9373340115,53969.3535260611,49417.1778917168,62767.5282866733,59651.7500431939,58076.2665125374,50742.6338310245,57145.1649199471,54599.1957928392,55924.9056962928,54791.4707209178,55435.5839283657,53349.2009903796,43664.1034117623,45459.6572455162,47134.7748233851,50141.0955732257,50689.6584810735,53492.923718867,53042.7888472966,63133.4332238667,57354.1103173975,56037.1487924095,3046.65631499391,3094.57518390032,2921.45258685239,2634.17824954826,1465.23750023474,0,748.52633058965,3483.38136000322,3342.03235955289,3382.05661360259,3439.61108920977,3472.37684054332,759.299654946251,4044.5954516807,4120.44846422355,4925.93971971346,3971.04337903501,4294.02742562289,3978.82732091541,5044.31043788895,5120.37261718012,4723.109347308,26260.1318621448,28995.8008742657,29072.3150843864,29142.0740387725,24038.1703991337,24113.5145138072,24001.9617515266,27299.2438963435,27499.5611561952,26768.6879334214,42880.8345105905,43372.6191666079,42941.3057659268
"GSM3714420_Galaxy294",64206.2252982859,60846.2742237236,65904.8088759661,54120.0336883741,49572.7522017842,62895.1651103421,59789.247489186,58214.0204525035,50895.4439170385,57286.0409963223,54745.45397028,56066.0829282879,54936.1141814984,55578.2668087427,53496.4253606874,43836.716006894,45627.7212724549,47299.2111277436,50294.8790343768,50841.9518942706,53636.7048363821,53165.4267543141,63235.1644312364,57475.3765187535,56159.9990697177,3060.92714984268,3143.66500540346,2904.01917650178,2718.16074560939,1653.45966905521,748.52633058965,0,3341.13817208738,3207.08711950958,3258.84739248556,3295.07045876538,3342.17043000171,684.838475763265,4102.92146608427,4179.67558402406,4978.63794171861,4044.09299470668,4365.68682501241,4060.42068594047,4957.38989555501,5004.54758909469,4645.50403219364,26272.8157669546,29000.3041670817,29082.5265672517,29148.1947556478,24047.3354661186,24137.8833048786,24026.4767973412,27306.6776058977,27512.0548090511,26775.9085574652,42839.372886221,43331.6148474706,42900.0689212252
"GSM3714420_Galaxy374",65173.7194284328,61869.2283753692,66826.2095248972,55280.3881233256,50832.9517463902,63883.151560862,60835.3489909759,59286.1909261778,52122.5616086648,58376.6246321275,55886.5439731834,57176.9690264516,56076.8193281468,56706.4820565726,54669.4995061654,45281.3042512177,47011.4867895299,48632.4250587139,51540.4444169937,52074.9267247061,54801.3744642824,54389.9014955187,64272.3088299183,58600.0927065386,57311.4268202555,2598.67385328455,2825.00726866149,2725.0900094547,2963.21333657106,3999.3336828117,3483.38136000322,3341.13817208738,0,615.713832670992,620.879540753411,574.140468606792,1633.13970251742,3199.49531914423,4787.70870482598,5019.9242802404,5744.42045418873,4641.64622847055,5024.03629756422,4777.70774692845,3905.4564927381,3941.85035856735,3821.45505525609,26615.578626294,29314.5560445935,29392.8408440908,29434.138782358,24268.3524766332,24411.1582744446,24287.6145665228,27521.7768120992,27731.8824052958,27018.94102109,42985.4501001486,43488.2188750245,43056.4835071697
"GSM3714420_Galaxy379",65169.9960820755,61865.4769074589,66818.8779715174,55278.1149512524,50821.121232925,63882.3683714739,60830.8456602297,59277.9799799504,52112.6860413522,58368.2795720099,55875.557503739,57164.9497981052,56065.2945515183,56694.9413124281,54655.3012647921,45264.4567630051,46997.8659270975,48621.0584635975,51523.3896654841,52058.2038624891,54785.129312824,54365.1441684359,64251.2625573745,58576.8232631161,57286.3380158582,2607.04099210196,2829.16726580932,2717.69263797348,2924.86821064923,3918.87837534961,3342.03235955289,3207.08711950958,615.713832670992,0,722.773707283099,664.617707517398,1607.36412571765,3080.30600404763,4717.90535947972,4994.3001513632,5695.1927904002,4583.76183428186,4987.28366413812,4722.88326291805,3955.65634754563,3997.8394135449,3870.53024871953,26544.7337369946,29247.9170912977,29322.7540912545,29365.6677134568,24205.9988932902,24346.9450251841,24228.2473979485,27466.2587644477,27669.88433174,26962.313003067,42895.0920314338,43397.2345287858,42971.2439791367
"GSM3714420_Galaxy384",65073.207922951,61764.4486116776,66725.7186473035,55167.7175195136,50704.175779657,63785.1719699378,60724.5759783298,59171.4593632184,51997.5623649992,58259.3623553303,55762.482501092,57054.8663562554,55953.9894712511,56584.9827320253,54542.1672989404,45135.1344263246,46874.2007916989,48501.6851429286,51406.1365138438,51942.0407810981,54675.0143675989,54264.6967089174,64165.820914232,58486.2817167737,57196.7071380909,2596.75772601313,2807.12962378017,2732.42380875356,2928.82463142563,3885.86410390335,3382.05661360259,3258.84739248556,620.879540753411,722.773707283099,0,706.633351793742,1704.2443952607,3074.65654428038,4632.88639070256,4857.39003674102,5640.39146604427,4492.38935572316,4861.46005418119,4621.02357868254,3872.78367740026,3914.7108331763,3791.14646097042,26490.7877210542,29193.9360689318,29271.6447415145,29316.559693392,24142.2547351887,24278.9214701484,24161.2740039848,27396.1494941174,27611.6744306279,26892.233989072,42896.135808971,43399.8986804721,42970.492621859
"GSM3714420_Galaxy389",65161.638288252,61856.1077458872,66815.734680671,55266.5104848811,50815.625351388,63874.3824439167,60820.7902344233,59270.6075589452,52106.0507998475,58359.7348724757,55868.1419917564,57158.8057059273,56058.738799357,56688.6499213611,54650.263269306,45257.5706409061,46990.8386586664,48613.0609765961,51519.5530609607,52054.1814387044,54781.8401323427,54367.1002365776,64253.5250164581,58577.0793094228,57288.9491714042,2464.04852400735,2713.52996577293,2586.07096750648,2828.88463769133,3902.26571690549,3439.61108920977,3295.07045876538,574.140468606792,664.617707517398,706.633351793742,0,1501.96970618452,3155.6751441707,4745.6735718651,4976.09183708854,5672.94571931138,4597.73564125902,4978.58613943009,4735.76094930985,3925.28460094771,3978.05859544109,3851.88783795902,26675.6011490783,29377.7844547684,29458.3810951955,29500.4432012871,24334.7925148502,24471.941370943,24352.1632625421,27592.3571881678,27800.2866381371,27090.3138969151,43057.3143331338,43558.2894114785,43129.0262279942
"GSM3714420_Galaxy394",65135.2276451486,61824.8528257417,66786.8724412899,55210.7321003907,50769.1974710479,63842.0463635743,60789.0227467175,59242.280985688,52059.1785694581,58328.266578232,55835.101460645,57130.388514185,56028.5848271261,56659.9846303065,54621.0820717212,45197.7850702847,46929.9745908997,48554.2674029382,51488.0108572543,52021.5726027143,54753.6187634994,54328.4470037471,64220.3637597865,58547.9835347662,57256.9331252002,2742.12792367867,2985.53089943148,2789.35484040462,3015.47118196279,3908.71237879119,3472.37684054332,3342.17043000171,1633.13970251742,1607.36412571765,1704.2443952607,1501.96970618452,0,3203.46137958819,4905.44985148374,5162.72011822875,5857.33057253886,4787.00022995796,5141.8486758509,4937.3212402457,4494.0765227671,4524.66581741461,4393.18240692928,26672.7302607895,29377.0794989236,29447.5480267467,29489.9863011925,24322.0852024105,24447.8398686529,24332.6196730798,27582.8459815081,27776.3731923257,27077.2862687477,43034.9103210352,43535.5149480742,43094.6877076606
"GSM3714420_Galaxy400",64187.2227381744,60824.262042188,65888.4650686468,54088.3371139714,49543.6509791974,62875.1364353653,59764.2153545958,58189.9232461156,50868.3289568081,57258.7342248122,54714.4179185091,56037.6017460366,54907.6719640147,55550.5407569553,53466.0501605011,43795.4715457323,45590.1234477017,47263.2490516689,50257.1388503685,50803.9801991438,53601.3952328947,53127.553072977,63203.7445138498,57440.0611737922,56124.9754532329,2883.30179697377,2945.19821771039,2720.44445913778,2540.25198301963,1534.46975479924,759.299654946251,684.838475763265,3199.49531914423,3080.30600404763,3074.65654428038,3155.6751441707,3203.46137958819,0,3866.51957123175,3938.12329639943,4830.33013894146,3802.70062616137,4128.31262298652,3832.00834396985,4819.9805587036,4859.08742347062,4495.73167262573,26128.9366617776,28862.9245371351,28942.7798452218,29010.3209868754,23885.6081956702,23971.0438424938,23864.1795685473,27148.7505291717,27356.8231779311,26616.6215697027,42745.2569011823,43238.4642663891,42804.6203017794
"GSM3714421_Galaxy415",63363.529074729,59960.1948279104,65103.0368321116,53146.5471456051,48499.6328175882,62045.5525465403,58886.3451892503,57281.7919696328,49851.7907493132,56350.1031489356,53769.4970230522,55109.3121458637,53958.8777805755,54612.1863864412,52492.0985423791,42628.5388571053,44462.8210668081,46170.1941511702,49244.3805249396,49805.5642874008,52650.0835773691,52195.7922708192,62427.8077273543,56542.7583034647,55193.1268742903,4907.98072563462,4833.94965273588,4905.35180406271,4709.50567396156,3906.18445465426,4044.5954516807,4102.92146608427,4787.70870482598,4717.90535947972,4632.88639070256,4745.6735718651,4905.44985148374,3866.51957123175,0,1037.77890645111,2545.81027086956,641.70584588745,916.632486535428,801.927810857869,4436.04293918914,4529.13444296556,4158.41749979161,23836.9048639294,26684.3219057523,26771.9720928457,26831.2247913886,21557.3807076425,21609.0735060558,21515.7768467057,24955.3102246756,25174.4082472054,24423.8591659865,40944.2895680956,41432.9799137386,41000.9707447933
"GSM3714421_Galaxy420",63131.7290428841,59715.9126438747,64880.0704982907,52872.4640005923,48201.85298053,61812.5529930599,58635.5439926386,57025.2054573671,49562.0323816494,56087.8760620938,53494.8750019275,54841.7635089828,53686.8288010146,54343.6802982797,52213.2988473526,42291.0394734207,44138.804687354,45857.425335817,48951.097951449,49515.6758444079,52376.6533732957,51928.4497343673,62204.6816903228,56295.3899539553,54937.8216754224,4971.57201924731,4863.08511213667,4941.88117253124,4690.6189524054,3772.66009937111,4120.44846422355,4179.67558402406,5019.9242802404,4994.3001513632,4857.39003674102,4976.09183708854,5162.72011822875,3938.12329639943,1037.77890645111,0,2260.06667867874,958.555249096578,762.464177746281,819.66704186019,4734.64446756677,4848.44510716949,4408.18314316572,23896.7777328913,26731.3069277406,26831.8046901787,26901.6146031791,21629.3804666811,21668.2578456172,21580.3676854977,24998.2894234636,25230.1324947617,24469.292434226,41101.3160589845,41583.7541513896,41153.7886861795
"GSM3714421_Galaxy430",63197.0657259884,59787.2356186002,64948.1050788624,52966.4872970388,48298.1742639206,61896.0371919706,58703.6201765251,57097.6430750791,49659.7351003425,56165.2848881829,53574.5259748758,54918.7155004454,53763.995618213,54420.0137817127,52290.5417128193,42408.2159736113,44257.8465225649,45975.03238105,49041.9474556198,49607.6799851544,52462.7853266436,51999.8607005942,62258.7373869722,56376.3413679495,55012.6649593283,5353.64533400105,5218.44684547068,5350.73868852505,5056.72954019919,4487.77808175137,4925.93971971346,4978.63794171861,5744.42045418873,5695.1927904002,5640.39146604427,5672.94571931138,5857.33057253886,4830.33013894146,2545.81027086956,2260.06667867874,0,2425.17790865605,2304.25309150485,2346.3923326786,5597.07012003419,5736.37455650613,5322.38682649188,23307.6271860271,26075.8013815607,26182.4109096631,26242.7304924244,21083.3825186635,21109.3920629635,21025.9466042627,24373.3065334367,24580.47483374,23871.4985928039,40371.031418748,40847.3318951405,40424.8069205473
